Tensometr 1,Tensometr 2,Tensometr 3
1318,557,968
1435,600,1055
1417,566,1008
1428,587,1090
1480,528,1170
1608,594,1195
1414,550,1148
1466,588,1151
1318,514,1069
1326,525,1085
1239,484,1002
1251,518,1022
1230,489,946
1250,551,989
1307,516,958
1446,607,1055
1609,619,1046
1692,643,1113
1742,625,1113
1671,628,1091
1538,646,1016
1583,618,1022
1522,587,960
1351,581,921
1354,550,884
1266,545,869
1250,540,853
1201,530,859
1230,503,855
1217,480,850
1264,513,847
1221,532,882
1324,553,880
1309,544,905
1330,548,920
1291,565,894
1280,571,895
1237,542,869
1286,589,886
1351,637,868
1435,619,873
1390,639,840
1381,634,831
1351,646,800
1300,637,822
1217,695,793
1149,712,787
982,695,774
900,701,760
900,749,748
859,665,759
837,644,757
851,689,752
814,650,763
800,627,765
871,646,789
883,670,809
986,685,839
969,786,879
1115,742,893
1103,725,901
1230,650,895
1174,655,929
1248,684,932
1227,662,953
1288,639,947
1344,633,963
1459,670,973
1349,677,1027
1387,575,990
1411,619,1064
1381,556,1026
1566,590,1052
1535,568,1060
1578,581,1114
1487,555,1166
1614,597,1195
1450,558,1161
1447,587,1155
1302,557,1073
1328,519,1078
1236,483,1008
1209,484,1021
1182,456,974
1232,465,982
1349,437,951
1435,518,1002
1661,535,1015
1766,580,1066
1742,600,1075
1612,557,1086
1506,595,967
1504,600,969
1446,569,983
1341,570,893
1326,535,879
1335,481,876
1276,524,940
1247,481,924
1246,481,927
1244,434,957
1246,457,1018
1262,468,929
1297,476,931
1286,504,916
1258,524,919
1261,531,989
1201,509,924
1148,517,864
1128,551,855
1184,599,841
1206,589,848
1277,511,828
1277,510,849
1268,571,791
1202,627,787
1156,614,779
1064,635,778
1013,549,768
933,566,758
907,533,734
820,560,735
805,532,732
781,567,731
792,557,735
767,616,745
853,604,755
833,587,772
891,587,812
927,736,838
1036,707,852
1006,689,864
1100,658,856
1110,672,868
1103,705,883
1141,717,897
1271,660,908
1259,660,919
1338,628,915
1282,612,944
1350,594,919
1401,629,983
1326,583,970
1380,637,974
1440,649,980
1387,670,1016
1439,602,1028
1491,584,1150
1534,546,1118
1483,583,1130
1436,534,1073
1344,528,1038
1297,514,980
1231,492,973
1223,483,977
1222,463,945
1299,482,946
1333,470,950
1489,490,995
1713,557,992
1735,592,1023
1730,588,1048
1742,585,1007
1628,583,952
1599,552,939
1486,555,905
1496,525,923
1497,510,897
1529,524,908
1510,516,885
1558,510,904
1585,518,884
1538,579,909
1571,571,893
1581,599,889
1536,624,889
1444,588,924
1495,559,896
1423,567,909
1387,571,885
1439,591,938
1672,698,958
1577,670,963
1838,766,961
1838,715,969
2299,820,952
2290,911,975
2592,1127,993
2320,1083,991
2304,1151,959
1923,1143,970
1886,1112,934
1566,922,935
1462,994,935
1389,924,936
1344,1007,963
1361,1008,980
1562,1135,1024
1612,1223,1046
1812,1300,1118
1778,1233,1121
1950,1032,1184
2002,965,1166
2243,1225,1218
2284,1030,1222
2617,1219,1270
2634,1186,1297
2797,1140,1291
2835,1173,1292
3025,1061,1353
2866,1036,1410
2801,1071,1483
2888,1023,1498
2852,1127,1575
2829,1093,1698
2849,1041,1884
2846,1074,1980
2823,1214,2033
2598,1222,2022
2603,1207,1984
2828,1220,1903
2806,1199,1921
2820,1202,1896
2838,1272,1942
2854,1512,1991
2938,1645,2124
2845,2114,2387
2956,2365,2429
3031,2940,2457
2942,2627,2457
2914,1589,2159
2904,1665,2205
2971,1513,1900
2924,1522,1908
2583,1295,1681
2651,1359,1708
2381,1213,1578
2390,1178,1495
2203,1149,1397
2154,1155,1420
2064,1104,1320
2042,1140,1287
1887,1152,1206
1842,1096,1217
1734,979,1184
1712,1006,1143
1703,822,1133
1675,693,1116
1683,726,1072
1574,688,1074
1568,697,1071
1513,747,1097
1597,733,1003
1577,748,1023
1623,692,987
1514,665,898
1569,639,854
1441,666,853
1397,666,841
1306,756,830
1232,728,792
1141,615,775
1008,590,761
919,526,761
875,536,756
859,556,748
828,575,769
816,620,760
894,632,774
885,654,792
934,684,818
1039,712,836
1111,680,851
1170,598,852
1275,621,844
1268,604,871
1217,643,877
1237,643,877
1238,591,918
1301,544,888
1399,562,934
1389,538,907
1300,535,906
1338,514,937
1356,526,976
1347,516,950
1545,525,985
1457,521,980
1496,517,1039
1538,483,1080
1642,486,1124
1502,483,1100
1580,505,1120
1381,475,1031
1386,504,1066
1281,438,977
1293,452,998
1240,413,952
1322,475,990
1328,430,924
1429,499,997
1573,489,976
1662,555,1021
1619,603,1019
1685,607,1033
1566,585,929
1522,563,927
1480,536,917
1404,547,985
1326,505,990
1345,509,960
1304,497,902
1244,535,870
1314,499,852
1244,509,871
1252,493,895
1264,530,841
1403,574,850
1358,615,881
1363,587,1019
1324,569,877
1304,612,849
1269,593,847
1346,595,837
1355,637,859
1368,683,901
1376,690,888
1491,679,833
1454,733,911
1446,831,1131
1363,829,798
1184,860,790
1092,833,773
989,863,750
935,811,742
885,745,743
853,764,751
815,741,749
819,746,760
810,781,765
857,809,779
874,755,803
928,835,818
977,907,853
1054,793,859
1034,759,848
1152,743,857
1109,716,864
1186,695,885
1151,708,899
1226,649,889
1259,637,936
1278,621,911
1250,666,927
1346,626,938
1353,643,945
1383,578,931
1443,599,961
1474,599,956
1521,621,997
1582,545,1051
1681,589,1178
1646,639,1129
1640,681,1160
1476,551,1051
1513,559,1076
1353,502,991
1329,548,1028
1293,479,954
1322,531,991
1271,491,932
1385,543,969
1609,512,955
1743,567,1022
1831,571,1019
1916,627,1052
1866,564,973
1774,578,978
1725,577,952
1630,581,1154
1562,559,1046
1545,534,993
1439,518,1139
1376,557,933
1432,521,1084
1411,527,854
1449,514,851
1486,518,848
1555,515,844
1548,563,859
1530,576,877
1496,539,870
1453,559,860
1451,561,868
1329,539,867
1411,617,849
1323,646,844
1372,613,843
1394,651,827
1421,611,789
1381,623,795
1303,609,786
1191,624,784
1013,617,750
933,625,735
907,606,742
857,558,734
824,558,731
785,584,733
799,580,712
777,618,721
848,655,731
852,635,742
901,708,776
892,653,799
979,715,809
960,716,816
1038,782,817
1034,851,834
1057,1048,831
1059,985,849
1176,1159,872
1175,1117,880
1211,1201,863
1249,1117,888
1287,1261,887
1272,1434,918
1330,1476,920
1360,1408,961
1436,1693,937
1487,1899,997
1451,1938,1017
1554,2069,1122
1570,2100,1146
1560,2133,1177
1500,2138,1084
1475,2239,1080
1318,2247,1012
1273,2284,1008
1229,2335,947
1218,2357,972
1192,2432,935
1248,2465,944
1410,2533,919
1519,2563,988
1697,2631,1007
1690,2757,991
1669,2290,1020
1567,1821,963
1507,1573,930
1425,1522,906
1347,1421,879
1238,1167,854
1221,1112,870
1153,1066,851
1129,1062,878
1139,1026,1004
1113,1006,1138
1143,804,852
1125,826,858
1140,755,842
1146,704,903
1067,683,911
1108,661,869
1055,602,834
1031,611,838
1085,623,817
1041,643,841
1055,665,786
1101,712,831
1088,759,786
1124,771,748
1055,755,739
1018,799,748
980,740,734
912,754,737
837,775,715
794,709,703
765,694,707
717,659,705
723,647,713
699,667,715
734,712,715
716,598,718
801,645,740
798,665,757
871,739,798
882,803,821
956,713,808
951,762,820
1030,734,820
977,798,832
1057,767,836
1050,789,854
1161,683,843
1147,689,865
1239,688,863
1205,634,888
1256,651,883
1308,662,907
1321,638,933
1412,671,944
1470,650,954
1495,711,1017
1528,652,1066
1622,652,1131
1610,730,1126
1573,680,1101
1539,612,1055
1449,582,1036
1395,576,1006
1292,557,972
1296,576,979
1294,573,948
1402,610,961
1513,612,922
1729,682,997
2000,793,984
2179,830,1049
2254,779,1019
2278,770,999
2113,771,965
2040,749,943
1855,685,928
1949,620,902
1920,596,862
1872,597,871
1939,633,841
2046,617,848
2152,598,860
2195,680,873
1976,715,868
2128,710,903
2281,778,912
2228,739,951
2206,847,1235
2121,878,1196
2273,920,956
2063,933,1000
2206,1169,951
2059,1101,964
2211,1205,923
2192,1042,887
2498,1268,849
2471,1305,884
2399,1825,875
2261,1739,858
1863,1488,850
1664,1231,808
1363,1159,780
1290,974,803
1290,983,782
1199,1025,791
1237,1014,800
1236,908,811
1304,901,828
1293,853,863
1479,1067,909
1430,877,910
1606,892,924
1657,881,926
1689,954,934
1661,968,983
1766,1005,984
1804,1008,1031
1891,974,1046
1996,950,1062
1944,913,1097
1828,917,1109
1919,924,1151
1858,952,1178
1851,953,1217
2013,934,1176
2118,921,1184
2269,907,1257
2376,835,1372
2511,966,1340
2385,947,1357
2228,930,1235
2168,929,1222
2042,834,1146
1993,740,1179
1935,687,1119
2047,730,1151
1947,686,1069
2133,746,1146
2267,737,1108
2552,853,1202
3000,928,1114
3057,1013,1172
2435,939,1138
2416,876,1036
2315,844,994
2240,765,1021
1874,751,934
1882,683,1167
1846,576,931
1734,556,1036
1671,564,1125
1665,567,869
1597,518,923
1559,593,1102
1523,606,1145
1480,602,834
1635,605,816
1549,624,824
1545,584,815
1501,574,831
1482,589,827
1362,589,832
1432,595,829
1333,638,829
1422,627,812
1383,589,804
1469,634,776
1560,631,757
1423,653,735
1358,673,738
1271,643,723
1107,600,706
973,605,713
923,572,707
844,580,704
819,563,716
782,608,712
764,547,705
754,590,721
803,625,734
823,567,749
846,633,780
907,683,808
984,709,820
1008,671,812
1127,604,802
1113,663,816
1112,701,830
1133,700,846
1159,669,853
1160,646,861
1215,625,893
1215,597,878
1201,584,866
1254,611,931
1218,570,924
1268,599,938
1446,581,928
1413,579,971
1456,531,1007
1563,555,1078
1588,520,1064
1544,628,1114
1406,557,1032
1372,572,1029
1297,532,962
1248,544,974
1154,484,910
1220,529,916
1158,465,880
1243,504,901
1298,458,880
1454,517,942
1595,486,922
1573,534,976
1533,453,973
1480,453,918
1376,450,892
1315,382,1086
1253,392,1061
1171,403,1022
1246,371,923
1182,362,926
1176,366,964
1147,372,948
1167,365,829
1099,344,826
1122,385,813
1142,387,829
1122,408,836
1110,400,847
1083,399,855
1033,380,913
1065,369,852
1039,393,870
1052,428,857
1071,441,859
1083,412,857
1131,399,866
1187,400,794
1128,439,782
1124,432,801
1068,494,765
976,539,753
898,500,799
871,498,741
850,451,732
801,441,745
786,459,730
765,500,738
775,604,739
802,593,746
860,610,758
875,603,800
956,677,824
980,667,843
1061,633,835
1051,630,852
1163,680,858
1141,762,871
1248,750,870
1240,721,910
1267,644,893
1300,673,933
1305,601,914
1272,611,944
1281,563,973
1287,628,991
1312,564,960
1497,604,997
1418,630,1005
1493,616,1077
1554,566,1083
1582,613,1153
1511,626,1131
1531,630,1141
1326,570,1054
1319,594,1078
1203,540,1003
1226,563,1028
1231,527,970
1257,561,1003
1264,525,953
1325,595,1020
1631,628,1002
1714,773,1058
1738,790,1090
1710,672,1083
1530,600,1009
1464,562,985
1546,533,973
1452,539,949
1404,529,916
1399,481,885
1396,471,891
1368,487,877
1341,504,871
1309,492,910
1315,510,876
1292,481,872
1334,462,896
1306,479,910
1263,470,912
1231,488,932
1237,505,941
1204,507,905
1229,507,942
1266,547,885
1231,544,906
1311,562,875
1353,549,834
1426,571,803
1375,558,807
1287,586,774
1140,622,775
1012,616,748
897,564,732
897,544,725
822,572,734
827,596,730
802,571,719
797,593,731
776,584,750
870,639,782
833,657,792
981,731,805
956,775,849
1125,765,843
1098,679,836
1232,648,849
1144,693,864
1185,705,868
1159,717,888
1286,631,886
1323,600,1337
1398,600,899
1293,619,913
1345,556,909
1360,603,934
1395,565,936
1539,601,963
1464,581,961
1505,608,1022
1580,540,1061
1623,555,1167
1572,567,1127
1547,548,1161
1401,518,1081
1372,523,1077
1293,517,1027
1304,516,1036
