Tensometr 1,Tensometr 2,Tensometr 3
948,902,778
925,812,776
938,859,773
890,868,779
878,1049,778
882,953,804
948,1039,816
973,1197,855
1197,1160,893
1154,933,898
1321,985,886
1256,910,882
1324,885,905
1370,874,910
1523,944,921
1496,878,930
1536,810,908
1508,830,943
1648,791,939
1527,761,975
1533,711,965
1526,763,966
1567,683,1004
1550,718,1038
1573,672,1106
1626,702,1226
1574,757,1251
1422,745,1234
1391,724,1213
1330,736,1156
1351,722,1113
1290,676,1070
1323,709,1097
1299,721,1081
1391,804,1137
1507,846,1200
1709,1031,1300
1922,1240,1333
2043,1506,1420
1997,1520,1468
1970,1528,1412
2104,1509,1449
2003,1453,1345
2115,1282,1330
2033,1250,1236
2067,1347,1289
1992,1359,1266
2010,1397,1335
2007,1642,1293
2289,1769,1344
2072,1967,1334
2420,2436,1351
2343,2431,1403
2481,2438,1362
2352,2218,1382
2248,3163,1324
2390,2400,1382
2409,3429,1297
2245,2353,1364
2350,3169,1182
2210,2218,1116
2173,2094,1066
1875,2042,1030
1654,1847,974
1552,1423,929
1313,1309,880
1224,1294,851
1146,1227,852
1026,1217,823
956,1125,802
935,1108,794
991,1128,794
975,1239,810
1047,1268,824
1035,1285,842
1068,1113,841
1033,979,826
1091,914,807
1030,864,792
1022,854,810
1051,807,808
1134,761,809
1189,712,830
1193,626,843
1249,662,834
1208,678,837
1226,646,851
1218,641,879
1190,623,892
1217,610,884
1300,602,890
1272,626,929
1262,562,944
1319,556,1008
1296,521,1041
1314,582,1016
1200,523,995
1156,530,974
1101,445,915
1066,443,921
1006,414,862
1000,436,869
967,402,831
976,425,864
983,419,830
1009,470,872
1037,485,839
1059,542,900
1097,557,903
1109,590,939
1079,594,873
1049,610,894
1076,619,860
1027,611,854
1025,624,818
983,626,828
986,645,814
986,673,849
1023,643,837
1012,645,870
1043,640,839
1030,643,850
1072,674,855
1018,721,860
1033,699,872
1043,694,885
1062,718,888
1010,758,893
1009,902,921
1030,913,929
1116,1009,929
1111,1012,926
1125,1153,874
1109,1291,859
1273,1202,857
1190,1249,853
1182,1205,821
1024,1140,818
1004,933,782
922,937,764
882,913,786
875,907,768
850,953,772
832,960,789
870,989,803
897,983,817
1016,1150,852
1000,1043,874
1014,801,875
1079,715,862
1129,692,863
1130,563,866
1108,555,879
1215,493,882
1169,444,888
1235,382,885
1226,363,900
1239,360,870
1204,345,891
1188,339,900
1123,344,923
1226,340,886
1263,342,952
1199,349,921
1178,341,970
1198,329,1026
1156,337,1044
1076,316,998
1035,317,978
960,295,931
936,298,945
917,277,884
889,286,938
881,271,871
875,293,935
908,277,893
903,312,943
968,302,912
971,322,970
984,341,939
959,357,962
973,393,939
982,402,926
982,426,915
944,469,892
954,473,873
955,519,911
1049,645,906
983,661,952
1016,642,907
988,632,928
1027,707,912
994,681,910
966,679,905
976,672,927
1024,664,920
1007,687,936
990,775,961
1023,847,1013
1018,803,997
1049,838,1007
1102,952,962
1065,985,915
1184,1065,892
1211,1018,881
1120,1031,867
1057,1072,853
973,1011,822
876,809,792
842,804,784
828,690,783
814,801,789
812,920,773
807,923,784
900,874,812
925,937,823
976,1094,875
972,1058,894
1103,906,884
1093,1016,872
1169,945,852
1093,966,875
1219,919,856
1154,992,877
1253,912,886
1243,814,865
1362,837,874
1310,844,910
1312,811,897
1280,809,913
1254,783,944
1272,800,949
1246,793,939
1292,787,972
1226,784,1017
1299,807,1113
1166,876,1042
1121,869,1052
1020,820,979
1006,826,1002
943,724,955
934,813,962
908,690,905
915,815,953
930,742,906
970,941,948
973,1027,899
969,1087,968
1025,961,924
1027,989,931
1009,853,879
979,911,893
993,822,888
994,775,864
985,697,835
927,719,857
964,794,851
962,789,860
955,780,872
954,728,861
990,744,862
975,747,878
918,707,868
986,686,892
988,658,881
974,620,893
928,677,879
968,757,941
1054,712,944
1101,826,958
1120,802,947
1118,802,878
1126,862,855
1131,959,862
1089,859,846
986,954,818
963,897,776
910,853,759
832,801,764
791,735,760
769,722,763
766,795,769
756,798,778
835,784,800
865,751,810
956,980,855
973,912,879
1026,801,869
989,831,860
1097,742,840
1031,750,878
1142,705,858
1088,692,879
1155,584,875
1133,561,892
1191,572,887
1210,570,919
1136,545,895
1128,559,908
1182,523,898
1254,531,930
1242,529,927
1247,534,953
1188,493,1002
1235,486,1064
1152,497,1030
1109,487,1024
1001,458,961
983,450,939
928,423,890
919,427,887
891,408,837
877,447,862
884,422,812
890,458,855
928,440,814
955,476,862
949,486,860
968,511,882
970,546,853
963,534,858
968,506,837
953,539,811
963,537,796
909,536,824
946,590,817
946,610,838
944,624,842
921,624,834
959,600,841
1040,615,840
1044,660,862
1026,654,864
1104,628,891
1157,680,891
1198,717,891
1188,776,914
1169,860,939
1209,920,979
1339,982,953
1393,1134,933
1552,1108,917
1624,1121,917
1497,1247,902
1411,1209,913
1286,1200,884
1229,1061,850
1142,1096,864
1145,1156,867
1075,1141,864
1150,1202,885
1139,1212,900
1338,1246,919
1284,1201,932
1671,1341,1002
1611,1188,1021
1923,1169,1044
1790,987,998
1928,924,1020
1796,880,979
1902,798,1051
1905,741,1055
1895,690,1061
1756,641,1086
1880,609,1076
1750,609,1112
1798,564,1134
1600,568,1166
1612,575,1140
1647,581,1186
1467,593,1192
1655,586,1342
1599,585,1370
1610,634,1456
1515,615,1418
1479,625,1416
1543,631,1393
1564,626,1406
1599,640,1413
1660,643,1430
1793,696,1569
1941,748,1728
2239,844,1895
2493,887,2117
2667,961,2384
2660,1048,2384
2660,1116,2454
2505,1236,2624
2671,1602,2848
2772,1642,2884
3003,1653,2594
2724,1906,2427
2674,2154,2426
2598,2233,2374
2743,2272,2278
