Tensometr 1,Tensometr 2,Tensometr 3
1964,861,1517
2000,974,1598
2143,1054,1559
2250,1027,1624
2091,1084,1651
1964,861,1517
2000,974,1598
2143,1054,1559
2250,1027,1624
2091,1084,1651
1550,565,1099
1652,576,1270
1497,548,1192
1355,532,1122
1245,464,1051
1191,404,1027
1241,409,1010
1452,445,1095
1710,599,1252
1785,704,1400
1910,838,1574
1929,874,1474
1986,911,1528
1948,839,1475
1923,849,1424
1974,849,1411
2039,1090,1737
2019,1215,1962
2338,1141,2061
2440,1441,2092
2895,1867,1973
3068,1945,1834
2785,2192,1683
2527,2201,1451
2211,1661,1347
2107,1433,1262
1929,1510,1225
1944,1456,1187
2038,1436,1203
2014,1463,1209
2046,1139,1129
1983,1007,1064
1854,914,998
1690,801,964
1578,663,919
1567,625,942
1525,580,924
1360,580,964
1367,566,936
1380,592,1024
1375,510,1024
1473,520,1072
1302,507,1034
1197,512,996
1091,444,919
1036,443,898
1015,404,835
1026,429,855
1072,453,840
1100,543,867
1074,553,834
1024,528,811
987,510,786
938,525,781
954,503,777
950,512,793
904,465,772
861,488,772
960,479,781
920,498,791
945,533,822
946,566,815
980,600,821
991,632,827
1019,654,841
1013,695,785
1030,691,787
973,904,775
896,984,761
883,829,761
875,839,782
899,924,777
887,958,806
966,1125,835
1045,1202,907
1109,1122,927
1226,991,920
1245,857,922
1297,827,924
1305,702,919
1392,648,961
1413,626,943
1213,599,958
1259,577,922
1358,560,939
1323,518,967
1336,486,1036
1195,479,980
1112,478,961
1002,431,890
971,423,855
970,415,811
966,433,833
1027,495,806
1035,608,833
1051,603,796
1015,613,785
977,610,762
926,560,749
942,542,732
899,554,764
888,514,753
861,524,779
957,525,775
918,562,783
962,614,790
925,612,810
1002,607,830
963,595,827
1011,604,816
993,636,779
1031,651,790
969,748,778
891,724,751
859,669,748
861,671,775
845,787,778
894,868,799
942,992,822
1066,1075,884
1163,1030,897
1202,987,890
1238,865,894
1440,879,898
1381,761,899
1481,676,925
1447,651,939
1351,611,946
1411,572,933
1337,571,936
1386,550,977
1341,534,1046
1199,556,1025
1108,546,967
1012,521,913
998,509,875
990,515,811
1019,553,826
1074,612,798
1063,762,826
1067,849,798
976,855,786
929,968,769
903,937,760
908,999,739
880,1067,769
829,1227,740
836,1539,765
920,1906,752
863,2019,778
889,2873,794
858,2788,814
897,2742,822
907,2712,817
914,2685,813
946,2643,753
927,2531,779
829,2425,752
823,2186,750
773,2145,748
767,2038,755
750,1884,747
829,1775,768
867,1750,786
983,1823,850
980,1449,866
1139,1157,845
1115,1061,856
1297,910,842
1230,838,863
1334,752,862
1332,691,852
1208,643,862
1293,636,868
1249,614,885
1320,577,933
1298,509,997
1199,544,1000
1095,514,944
1022,494,895
1027,470,855
1033,472,819
1019,498,802
1105,550,784
1081,620,810
1148,661,806
1043,641,804
1003,663,781
1017,657,768
972,636,760
970,694,766
924,678,766
929,669,765
1004,669,762
939,663,798
941,714,798
973,721,810
990,794,809
1008,772,808
1055,841,779
1062,929,763
1102,911,754
985,1128,760
970,1084,731
934,994,739
880,921,743
840,965,746
919,932,763
963,1022,791
1145,1167,848
1197,1095,860
1495,1152,852
1345,1070,873
1638,1104,911
1580,1045,973
1898,821,961
1998,909,1017
1728,826,992
1682,796,1071
1763,789,1056
1986,805,1186
1872,837,1226
1704,899,1286
1544,821,1176
1562,827,1198
1455,794,1119
1539,888,1162
1698,953,1131
2013,1174,1211
1912,1436,1233
1850,1327,1158
1679,1174,1079
1581,1167,1028
1497,1165,970
1421,1062,967
1338,1042,964
1332,952,934
1272,1000,899
1363,1050,864
1246,915,900
1230,891,894
1164,904,921
1149,946,937
1209,921,921
1232,959,892
1202,937,789
1279,986,791
1191,945,775
1075,955,739
986,763,738
911,835,748
897,832,759
920,787,771
1000,853,805
1089,951,859
1108,959,878
1262,802,855
1243,773,866
1442,775,867
1407,690,903
1531,628,910
1523,601,912
1386,554,926
1400,555,939
1389,533,912
1307,503,976
1337,470,1012
1222,499,1004
1100,487,924
1039,446,893
961,409,825
950,419,817
963,407,786
991,463,789
1003,472,784
1024,514,787
994,499,767
923,512,748
916,465,719
869,473,705
871,473,704
816,472,730
809,481,718
819,479,726
783,489,749
792,500,771
778,469,761
801,530,757
837,519,753
902,557,749
949,541,701
932,527,732
848,618,714
817,577,713
794,626,721
765,577,730
757,641,746
799,703,759
874,759,801
955,818,857
1024,732,877
1168,618,859
1153,592,865
1272,572,857
1250,506,883
1339,492,905
1404,479,906
1239,458,913
1234,451,930
1296,443,931
1319,423,980
1285,408,1046
1180,442,1026
1070,425,945
1008,409,943
971,370,854
925,368,854
951,387,833
979,448,829
994,488,825
1017,526,850
946,542,815
894,567,818
900,517,781
858,483,785
872,463,771
839,487,766
850,477,768
839,517,774
808,488,792
807,583,804
829,510,787
838,557,813
873,579,807
907,582,812
954,596,744
939,599,765
862,776,730
825,771,725
813,735,722
760,692,739
746,765,751
783,815,757
885,915,792
981,955,856
1053,1029,875
1222,992,855
1242,857,856
1327,886,851
1324,782,869
1443,758,900
1381,712,890
1280,678,891
1366,729,915
1333,670,923
1361,584,975
1384,574,1058
1239,598,1034
1112,578,975
1017,522,921
979,478,855
951,442,829
975,435,809
1014,533,818
1032,578,823
1058,578,827
1005,558,792
932,491,787
901,481,757
844,467,752
865,459,747
812,461,739
835,443,734
823,456,761
776,460,754
782,498,795
826,484,751
808,514,784
864,512,781
887,526,799
938,542,739
893,573,737
848,635,713
779,602,706
810,601,712
773,616,723
775,706,740
805,755,757
942,856,797
991,883,861
1109,894,876
1208,752,858
1204,718,851
1297,746,864
1284,640,862
1344,631,928
1486,622,888
1343,573,911
1465,548,897
1386,540,925
1409,492,964
1391,466,1039
1223,492,1022
1106,476,954
1025,425,898
1001,408,848
965,398,808
962,415,790
1007,466,790
1002,475,813
1034,501,821
1015,484,795
938,476,789
940,475,756
905,483,765
945,507,753
899,495,768
926,521,750
873,525,760
849,531,766
871,570,790
925,565,780
968,587,834
1030,618,849
1156,697,856
1272,838,832
1416,855,840
1575,1133,871
1430,1070,885
1386,954,881
1368,917,888
1470,1083,902
1484,1064,931
1829,1164,997
2159,1223,1048
2835,1188,1081
2818,1077,1071
2667,1125,1113
2598,1098,1152
2512,1011,1214
2636,1200,1159
2751,1156,1219
2897,988,1288
2810,975,1321
2576,1040,1470
2694,957,1724
2618,1092,1689
2301,1083,1579
2183,1058,1577
2399,1044,1441
2306,1204,1440
2735,1201,1488
2847,1673,1618
2275,1671,1803
2242,1827,1946
2076,1387,1658
1834,1300,1505
1668,1437,1365
1614,1179,1285
1601,1140,1193
1524,987,1161
1494,870,1078
1434,850,1046
1381,890,1035
1347,889,992
1170,762,974
1125,683,978
1150,755,974
1168,729,926
1187,637,857
1109,690,810
1040,637,814
1021,696,776
905,625,762
872,607,766
850,631,771
851,684,783
917,769,819
1012,839,854
1079,1037,909
1192,775,870
1227,765,875
1304,705,862
1327,700,877
1409,571,898
1567,597,905
1493,569,886
1366,534,924
1381,517,898
1408,513,920
1505,467,985
1408,486,1058
1244,456,993
1197,453,949
1077,416,893
1077,402,874
1046,392,828
1055,454,833
1144,488,827
1155,607,873
1083,576,830
1018,577,819
976,583,804
937,538,804
936,545,784
917,593,774
899,541,783
878,574,782
881,602,793
821,581,811
861,606,812
858,644,816
865,701,813
882,757,802
965,732,759
957,778,752
868,779,740
814,828,737
797,770,721
809,747,733
768,732,736
762,780,750
854,845,786
912,965,820
994,995,874
1064,819,858
1187,824,849
1196,809,844
1268,763,868
1359,629,869
1514,649,875
1433,597,882
1377,556,896
1447,541,915
1375,533,947
1434,497,1046
1349,564,1066
1214,513,1013
1147,494,964
1041,479,903
1004,503,901
1031,463,854
1082,531,885
1107,531,863
1151,617,880
1077,610,838
1070,616,847
1026,596,820
944,596,806
1014,607,777
958,679,781
947,645,804
960,667,810
924,607,803
903,608,828
942,605,827
919,636,827
966,653,840
1004,636,831
1049,645,791
1024,725,766
909,838,761
851,892,750
852,842,739
802,763,736
805,815,749
772,820,752
846,928,791
904,949,827
1017,1099,879
1099,1066,860
1184,1286,850
1213,1372,853
1282,1445,887
1317,1348,884
1365,1667,891
1386,1819,896
1301,1938,886
1407,1958,907
1350,1994,937
1443,2212,1052
1345,2386,1047
1186,2432,1014
1088,2541,962
1022,2632,873
980,2756,887
971,2832,827
968,2884,814
1036,2935,817
1052,2972,837
1051,1942,782
966,1756,786
926,1539,767
889,1466,757
921,1341,757
862,1163,759
839,971,770
805,971,785
816,871,783
792,819,798
803,795,797
807,789,806
800,773,775
827,869,785
