Tensometr 1,Tensometr 2,Tensometr 3
955,378,782
964,383,775
942,369,763
957,375,759
939,370,728
967,379,742
982,387,713
989,401,730
997,396,708
1003,420,725
1000,418,721
1024,464,726
1012,458,725
1032,471,736
1070,512,733
1043,504,736
1032,490,723
993,496,716
1002,472,713
1007,497,722
1011,447,708
1028,472,712
1013,477,700
1018,452,702
1035,446,702
996,453,708
1008,449,694
1010,481,705
1045,496,710
1047,520,713
1042,502,709
1021,485,716
1030,472,721
1009,499,714
1024,510,713
1016,513,736
1069,533,736
1062,550,733
1050,524,730
1041,531,737
1060,535,740
1054,547,736
1072,520,743
1022,559,745
1037,549,763
1011,541,762
1021,534,758
1004,567,763
1009,575,761
1017,583,790
1050,577,764
1050,570,774
1136,576,784
1136,585,795
1185,581,775
1242,637,772
1321,663,760
1282,696,769
1326,719,768
1294,718,781
1315,724,787
1350,723,778
1432,721,792
1505,748,802
1477,798,792
1518,793,798
1349,851,796
1317,849,800
1255,784,792
1293,803,803
1275,765,808
1241,763,816
1186,743,819
1265,789,833
1191,789,834
1244,915,847
1247,859,857
1298,971,875
1284,978,874
1409,940,896
1341,935,911
1454,926,918
1370,964,938
1559,967,974
1540,1028,973
1741,1139,994
1638,1055,1015
1793,1091,1044
1732,984,1045
1972,945,1051
1863,908,1028
1920,916,1026
1859,853,1013
1932,830,1018
1845,752,1031
1921,706,1058
1836,716,1043
1943,657,1046
1958,677,1070
2131,651,1068
2119,643,1066
2043,645,1048
2052,659,1052
2144,631,1053
2142,655,1075
2097,665,1070
1957,654,1043
1982,657,1033
2117,647,1060
2186,642,1096
2233,670,1116
2292,664,1142
2305,645,1176
2338,655,1146
2311,659,1159
2516,669,1155
2452,663,1203
2344,672,1229
2225,671,1261
2109,694,1242
2133,699,1289
2116,681,1351
2214,664,1310
2271,669,1400
2258,673,1382
2309,677,1459
2291,688,1405
2288,703,1430
2243,699,1394
2240,699,1411
2214,704,1392
2229,698,1389
2142,701,1360
2122,713,1310
2118,705,1300
2213,688,1315
2388,698,1275
2500,708,1277
2407,706,1254
2369,743,1285
2434,736,1264
2319,790,1356
2405,810,1382
2515,844,1447
2621,919,1421
2695,943,1438
2745,1065,1506
2887,1137,1568
3027,1310,1669
2945,1324,1717
2975,1460,1816
3190,1481,1820
2813,1597,1782
2845,1556,1784
2658,1668,1788
2615,1534,1756
2460,1511,1836
2603,1932,1811
2401,1669,1822
2479,1763,1809
2519,1774,1660
2383,1575,1612
2480,1476,1588
2435,1610,1532
2262,1489,1485
2286,1326,1449
2235,1384,1390
2094,1244,1384
2098,1286,1370
2053,1252,1320
2037,1268,1313
1919,1246,1244
1958,1184,1260
1890,1178,1305
1900,1187,1222
1834,1171,1230
1837,1165,1229
1813,1095,1207
1848,1085,1185
1758,1070,1183
1747,1070,1153
1734,1042,1151
1742,1039,1145
1724,990,1135
1709,956,1134
1668,903,1100
1643,905,1110
1609,866,1084
1583,865,1089
1536,835,1059
1539,840,1065
1494,793,1065
1525,834,1068
1499,825,1005
1462,818,1001
1404,751,957
1377,741,962
1363,759,925
1338,715,942
1339,695,890
1292,659,893
1302,608,844
1275,655,843
1312,614,811
1286,623,814
1267,571,831
1273,627,810
1283,569,815
1351,615,801
1302,579,784
1225,576,776
1219,569,745
1140,577,744
1103,589,734
1014,568,733
1002,575,736
961,536,734
927,522,734
883,529,741
855,529,734
845,463,737
861,484,736
828,510,743
847,523,737
809,541,756
812,529,757
798,544,757
801,630,765
804,592,762
833,593,776
857,568,776
890,624,790
907,599,785
952,610,803
986,611,822
979,621,822
1022,673,834
1006,710,846
1039,668,867
1074,655,852
1077,659,863
1090,648,856
1117,668,848
1126,617,834
1215,601,836
1196,590,844
1235,576,829
1177,623,830
1202,596,836
1143,606,839
1219,593,819
1191,567,822
1270,542,825
1211,547,830
1262,524,828
1211,501,834
1214,482,833
1219,463,855
1227,460,834
1234,467,849
1274,457,825
1210,466,835
1236,445,822
1218,447,831
1256,435,815
1217,448,830
1254,442,843
1243,425,832
1229,424,834
1224,433,830
1233,427,839
1261,429,827
1215,423,835
1292,427,844
1239,420,844
1267,417,845
1209,401,861
1201,398,858
1204,399,881
1215,410,898
1238,398,923
1219,395,937
1237,397,930
1188,403,916
1192,413,910
1165,393,902
1125,393,891
1103,386,890
1069,384,869
1035,368,867
1017,363,848
982,358,828
999,348,827
967,334,803
964,343,788
957,335,788
962,337,788
943,331,768
964,328,761
976,331,737
989,329,748
996,330,739
987,345,755
1030,356,728
1042,376,736
1092,388,723
1054,400,744
1047,413,737
1078,421,744
1089,435,745
1059,453,759
1128,454,749
1081,466,749
1093,471,738
1083,461,746
1118,451,731
1102,465,742
1083,439,740
1076,461,740
1068,443,726
1049,443,731
1084,435,732
1072,438,736
1093,450,731
1076,459,734
1034,482,724
1049,494,734
1097,495,723
1051,504,737
1050,514,730
1063,520,743
1042,507,736
1050,519,735
1042,501,733
1064,510,751
1071,517,748
1063,518,761
1041,526,759
1015,529,772
1039,513,779
1010,539,802
1027,510,794
1047,547,800
1008,546,796
1011,569,816
1039,530,792
989,551,800
1013,551,806
1003,592,820
1036,607,795
1027,626,789
1039,681,792
1039,671,776
1038,639,759
1049,644,781
1051,676,757
1112,689,759
1130,683,745
1050,717,736
1060,685,740
1037,653,752
1040,670,740
1012,665,733
1019,642,733
979,622,730
952,641,737
917,655,734
883,649,722
877,662,726
840,643,737
816,639,729
774,646,733
807,625,747
753,585,741
786,636,746
763,620,746
795,643,750
778,632,752
820,694,752
786,652,759
846,709,768
834,711,771
906,738,784
877,720,787
927,748,792
903,709,817
1000,800,822
963,870,838
1033,827,861
1028,824,843
1048,832,856
1047,762,837
1121,801,849
1111,853,839
1226,742,818
1158,786,826
1178,749,822
1133,702,826
1162,704,822
1151,687,805
1173,641,820
1149,621,835
1211,611,822
1154,591,837
1164,566,820
1205,550,837
1170,547,834
1145,564,830
1169,554,834
1187,547,835
1157,531,832
1144,514,836
1227,519,822
1208,547,834
1211,519,863
1222,506,843
1178,495,851
1248,499,853
1286,509,864
1232,504,839
1240,501,859
1266,490,859
1227,485,867
1181,476,875
1193,490,876
1196,468,892
1288,489,899
1286,461,936
1283,455,967
1287,453,932
1227,475,939
1189,469,923
1177,471,931
1105,465,897
1115,452,895
1061,437,878
1071,431,881
1019,413,859
1028,408,859
978,398,823
985,407,837
974,390,805
968,406,812
971,384,790
962,397,789
963,386,758
960,407,778
984,397,753
960,425,778
1005,433,754
988,448,774
1011,461,742
997,503,759
1050,502,743
1081,519,770
1130,521,748
1122,530,762
1162,505,756
1138,511,762
1145,512,756
1123,516,750
1128,511,743
1133,518,748
1095,484,748
1084,512,741
1087,526,730
1101,499,731
1109,495,724
1100,479,733
1099,479,732
1064,504,727
1057,480,723
1063,509,728
1117,498,733
1060,499,736
1073,504,726
1042,493,728
1029,475,747
1011,494,746
1042,505,757
1039,512,766
1052,507,763
1042,527,752
1034,521,759
1009,540,778
1025,552,776
1013,528,780
1062,526,792
1046,520,788
1069,524,804
1051,502,782
1064,537,800
1045,537,778
1029,520,809
978,528,779
1016,534,801
1024,556,773
1050,580,782
1061,583,775
1131,581,771
1149,585,751
1156,570,758
1157,583,767
1183,610,749
1206,626,742
1205,613,726
1129,636,720
1142,605,734
1070,596,723
1063,621,726
1088,607,722
1044,597,712
1014,625,715
973,624,729
1001,693,711
922,704,713
932,722,711
880,687,710
892,669,723
858,638,715
826,666,722
810,614,728
817,641,725
784,619,731
820,670,721
798,653,727
808,647,728
818,661,734
825,636,741
822,644,738
849,682,751
871,699,761
904,727,768
912,769,771
954,739,786
944,755,805
960,784,815
990,832,826
996,861,853
1024,808,825
1053,752,839
1070,764,815
1061,733,816
1110,798,813
1128,793,812
1151,784,803
1094,786,809
1127,791,810
1060,788,813
1109,830,805
1071,835,824
1159,857,823
1089,872,826
1120,857,829
1084,852,822
1094,873,827
1077,854,830
1079,921,826
1128,977,840
1129,974,832
1096,1025,844
1111,1027,846
1079,1054,846
1105,1046,849
1122,1124,852
1088,1118,852
1095,1118,857
1085,1145,853
1083,1135,850
1143,1173,839
1136,1204,844
1187,1195,845
1125,1189,864
1151,1203,859
1161,1253,886
1142,1260,905
1226,1309,895
1176,1315,936
1195,1324,947
1226,1369,962
1175,1465,952
1136,1675,943
1126,1700,956
1068,1686,918
1058,1709,915
1051,1705,903
1021,1740,896
989,1732,889
970,1801,880
942,1790,847
920,1898,849
944,1917,844
917,1961,820
936,2016,812
933,2164,796
917,2290,781
943,2583,781
973,2749,762
970,3170,745
988,3279,750
983,3429,747
1015,3432,751
1011,3427,751
1014,3429,750
1041,3428,765
1033,3430,765
1062,3429,765
1037,3342,763
1022,3076,752
976,3047,758
986,2575,736
982,2959,734
978,2487,737
985,2502,736
974,2374,729
967,2409,738
980,1826,729
966,1801,732
971,1584,723
962,1621,728
996,1380,719
972,1495,740
978,1344,713
907,1296,734
919,1169,724
928,1122,744
908,1048,720
921,1054,732
948,995,737
930,990,756
938,955,747
925,1012,764
918,928,743
909,928,757
923,907,747
911,918,762
914,900,748
935,930,769
917,908,752
910,899,770
933,870,761
902,877,772
898,868,770
894,885,771
900,862,759
904,907,782
921,848,761
911,848,776
919,806,755
917,809,747
948,748,757
949,739,741
980,731,728
951,679,711
913,679,708
924,728,720
908,711,708
923,684,715
899,698,698
915,738,701
921,716,712
906,709,702
866,704,705
860,742,706
833,735,701
841,675,708
796,658,701
768,656,709
750,640,706
759,649,711
729,614,714
749,640,706
742,650,714
768,699,712
745,692,726
768,702,734
751,730,733
787,780,746
768,739,745
800,764,761
809,737,763
839,784,770
854,783,772
897,809,787
857,815,808
930,895,823
895,878,838
951,872,855
939,806,831
995,722,835
985,733,820
1034,741,821
1001,764,814
1136,764,821
1060,695,816
1068,737,821
1026,728,813
1047,737,812
1041,758,817
1083,745,806
1073,754,825
1143,719,831
1133,700,827
1159,660,834
1194,648,824
1164,633,835
1196,642,850
1244,647,836
1185,650,841
1188,640,841
1190,645,839
1235,604,833
1229,607,848
1213,571,854
1243,582,848
1197,582,851
1245,572,863
1283,583,848
1355,601,858
1323,575,878
1342,560,875
1321,553,892
1296,537,914
1372,552,902
1329,531,944
1295,523,983
1353,521,958
1298,531,958
1224,552,955
1228,529,948
1150,513,928
1134,519,923
1094,489,880
1088,485,889
1040,478,837
1041,482,848
1032,438,806
1038,447,824
1020,424,781
1023,443,799
1035,425,775
1031,445,771
1052,428,741
1072,488,755
1097,504,726
1068,543,751
1116,570,726
1112,610,754
1167,649,731
1183,681,756
1228,677,741
1225,662,749
1216,634,733
1233,676,744
1166,648,725
1159,681,733
1121,633,722
1117,661,733
1132,655,707
1102,664,731
1132,598,708
1122,646,722
1133,580,712
1118,594,722
1165,582,715
1165,625,721
1139,596,734
1109,602,731
1112,580,728
1123,591,745
1146,586,731
1148,607,744
1191,620,735
1197,637,744
1180,603,753
1169,613,754
1191,617,753
1184,609,772
1288,641,785
1307,708,788
1418,717,791
1354,737,823
1409,728,836
1414,778,821
1445,789,846
1402,840,861
1441,855,908
1510,908,879
1571,925,886
1659,976,895
1664,953,900
1698,1040,900
1754,1056,872
1828,1147,849
1946,1105,848
1939,1118,821
1870,1160,831
1932,1172,820
1930,1178,818
2091,1387,808
1906,1333,817
2154,1312,798
2048,1319,799
1976,1255,786
1810,1238,785
1551,1167,784
1485,1086,796
1440,1090,796
1295,1047,796
1282,981,811
1226,948,820
1304,1063,809
1240,958,824
1354,1033,811
1280,1045,825
1388,1093,841
1356,1051,823
1526,1070,849
1439,1085,866
1595,1139,855
1588,1082,884
1697,1104,910
1697,1162,911
1790,1284,932
1744,1300,958
1792,1206,933
1786,1192,931
1813,1092,918
1773,1076,933
1827,1046,918
1846,999,931
1951,1000,923
1834,981,926
1785,929,937
1759,980,942
1703,1012,950
1775,1000,943
1836,916,961
1906,912,977
1853,915,974
1896,846,968
1837,870,981
1826,842,970
1852,866,1020
1832,839,976
1821,840,987
1894,790,1002
1985,834,980
1786,759,1000
1833,778,999
1772,763,997
1656,758,995
1666,745,982
1699,745,1011
1783,722,980
1830,755,1002
1697,728,996
1602,749,1021
1561,725,1008
1538,730,1035
1597,725,1029
1580,737,1095
1579,706,1103
1653,722,1115
1607,679,1059
1566,767,1107
1466,738,1064
1468,745,1086
1399,707,1012
1425,715,1022
1366,659,982
1335,669,976
1326,644,948
1354,653,936
1319,617,898
1333,638,914
1258,599,879
1285,639,903
1210,600,865
1236,615,891
1230,578,851
1221,628,857
1204,586,838
1199,616,852
1264,597,844
1292,653,843
