Tensometr 1,Tensometr 2,Tensometr 3
2122,408,1097
2067,404,1145
2173,418,1160
2101,422,1125
2135,463,1156
2062,467,1145
2123,459,1134
2099,446,1119
2092,444,1113
2086,443,1095
2090,436,1094
2128,433,1096
2131,444,1103
2169,444,1094
2177,449,1091
2287,458,1093
2422,464,1115
2462,457,1119
2484,469,1132
2470,466,1130
2624,480,1161
2671,502,1152
2511,539,1180
2731,542,1202
2641,571,1288
2619,594,1363
2839,638,1443
2777,649,1503
2955,670,1554
2989,682,1567
3089,717,1602
3086,682,1624
2880,758,1617
2830,700,1608
2824,817,1598
3079,741,1575
3124,847,1630
2995,818,1532
2681,875,1552
2883,890,1499
2799,951,1510
2697,919,1531
2517,904,1462
2574,874,1405
2614,824,1377
2589,835,1334
2493,870,1332
2536,880,1316
2420,950,1254
2407,888,1250
2222,781,1269
2183,816,1186
1987,741,1170
1987,804,1161
1855,756,1162
1808,776,1119
1699,839,1116
1657,863,1100
1584,883,1081
1616,889,1101
1464,784,1060
1507,719,1065
1400,658,1049
1429,674,1046
1350,709,991
1373,661,1014
1328,678,969
1342,661,966
1319,624,955
1294,620,955
1223,574,926
1231,579,900
1187,557,889
1207,545,867
1148,535,855
1136,529,838
1100,498,814
1086,479,821
1062,462,776
1056,476,755
1021,450,746
997,435,710
955,420,713
956,442,703
917,403,708
891,402,706
880,378,696
865,371,692
842,370,675
820,377,675
811,376,663
749,358,670
720,349,675
680,342,669
675,340,666
658,325,674
656,325,664
663,306,666
664,320,661
675,322,670
675,326,676
673,340,679
662,335,686
664,338,684
668,334,690
672,333,693
664,360,694
687,366,700
706,361,701
715,359,710
739,360,714
748,387,732
771,386,752
774,399,753
797,399,783
799,432,775
810,411,799
854,426,771
844,424,774
886,415,757
871,399,768
914,403,750
905,420,766
952,409,758
939,406,767
891,408,775
907,407,774
931,415,776
958,402,767
997,391,775
1016,395,776
1037,393,779
1039,387,786
1092,374,775
1074,365,792
1077,360,794
1093,370,790
1122,365,796
1130,366,782
1101,368,801
1154,367,792
1132,361,799
1118,349,784
1105,342,808
1083,334,813
1128,342,808
1091,338,815
1064,325,803
1092,328,815
1155,335,803
1177,334,808
1171,338,813
1166,330,810
1132,318,828
1135,333,826
1121,325,860
1179,322,850
1166,342,889
1171,336,892
1218,340,923
1162,335,882
1154,359,870
1100,360,881
1110,358,863
1054,358,846
1035,347,840
1000,334,809
989,332,812
943,315,778
944,320,781
935,307,740
928,312,755
909,305,724
912,306,751
906,292,717
910,296,725
963,294,706
943,306,709
947,308,685
969,321,702
1007,323,686
1013,341,704
1020,353,693
1003,368,715
1001,390,695
1021,398,717
1008,388,706
1018,382,705
1018,384,692
1010,380,697
1005,378,682
1010,372,687
999,368,690
960,363,682
960,368,673
931,373,690
959,366,674
957,360,678
944,354,677
906,353,684
935,340,667
906,350,673
912,361,687
911,365,680
892,358,671
878,354,680
875,356,694
834,356,690
820,375,682
867,350,672
846,362,682
838,382,679
840,377,679
817,360,681
812,365,678
816,359,666
808,359,667
795,358,673
794,366,664
794,356,668
789,352,676
804,358,666
783,351,678
794,365,684
771,363,686
786,369,674
773,365,689
798,364,665
791,373,656
