Tensometr 1,Tensometr 2,Tensometr 3
1014,463,916
971,449,901
966,423,854
1011,442,849
1053,486,836
1079,572,887
1084,593,837
1037,610,816
1015,580,796
987,559,782
1014,551,775
958,588,789
960,534,776
973,582,774
953,544,776
880,526,776
970,540,796
904,572,793
922,560,808
981,552,810
1028,541,786
1021,555,741
1014,585,761
902,619,743
833,588,726
801,585,722
762,578,729
774,627,734
780,689,743
860,751,771
946,849,809
1011,966,837
1079,822,836
1116,726,830
1190,753,830
1245,651,852
1361,652,856
1435,609,862
1261,589,896
1266,568,921
1386,582,936
1335,546,994
1395,527,1047
1254,548,1015
1112,525,977
1042,505,907
1005,474,878
1023,453,844
1094,487,885
1268,553,922
1365,668,968
1531,706,1024
1619,763,1033
1705,744,1091
1748,671,1113
1713,700,1090
1716,772,1057
1715,683,1063
1867,804,1105
2171,919,1143
2265,838,1177
2450,1085,1270
2532,1069,1404
2817,1183,1490
2826,1282,1596
2830,1146,1564
2722,1299,1458
2753,1376,1369
2418,1353,1383
2394,1343,1342
2443,1266,1175
2251,1589,1152
1965,1432,1083
1826,1423,1110
1964,1560,1164
2082,1449,1297
2297,1659,1264
2293,1417,1253
2164,1459,1239
2241,1209,1204
2105,978,1182
2250,861,1139
2039,777,1110
1791,680,1114
1735,683,1081
1542,627,1080
1616,562,1182
1531,605,1163
1364,582,1166
1239,553,1073
1164,529,1017
1108,498,969
1162,488,970
1302,532,991
1380,571,962
1384,617,930
1263,595,869
1199,587,849
1203,565,828
1127,551,822
1149,593,830
1109,611,822
1123,545,816
1180,543,823
1096,550,833
1166,547,855
1122,535,838
1060,515,855
1051,522,862
1074,516,843
1111,518,798
1069,535,784
979,561,778
898,603,755
924,569,741
834,599,746
833,604,760
839,583,757
908,641,777
956,702,813
1027,833,862
1058,720,855
1178,664,854
1091,702,858
1216,646,856
1267,594,866
1431,572,866
1323,587,871
1252,546,896
1348,554,892
1309,526,926
1385,526,1004
1355,542,1005
1245,540,998
1127,497,914
1059,505,882
1014,481,839
1032,512,842
1119,580,826
1131,634,860
1181,662,860
1115,631,836
1065,600,813
1073,576,795
1062,583,779
1029,584,777
1013,611,782
985,588,777
1008,629,776
964,655,789
996,588,807
967,658,835
970,635,824
984,592,815
1016,569,796
982,594,765
949,648,745
930,631,720
866,662,721
854,651,709
819,638,724
816,704,723
791,821,749
827,933,776
913,1045,824
997,1103,860
1023,1071,850
1098,925,840
1141,877,845
1229,684,858
1263,609,890
1389,640,899
1370,641,902
1244,583,901
1320,569,922
1369,552,972
1507,527,1058
1362,547,1069
1219,515,1034
1136,495,971
1084,451,902
1044,423,872
1071,461,887
1116,490,866
1208,557,901
1155,592,901
1106,612,894
1058,629,844
1037,577,800
1061,611,777
1046,576,780
1071,586,778
1044,609,768
1022,668,762
936,645,774
974,658,800
945,687,813
931,740,829
977,828,824
973,893,801
1011,1072,746
945,1237,736
862,1508,731
818,2339,719
807,2303,710
787,2557,727
798,2433,747
780,3032,762
856,3033,802
912,3192,837
946,3433,879
1072,2307,862
1116,1844,840
1168,1495,859
1202,1471,868
1196,1172,865
1275,1136,869
1218,925,872
1164,917,892
1266,816,902
1251,751,940
1300,673,1052
1192,674,1021
1050,638,967
982,600,915
943,568,875
914,591,853
957,607,829
975,716,824
999,821,841
1010,873,833
999,846,797
939,828,774
935,828,752
902,717,737
942,702,749
908,652,750
908,699,745
930,736,749
886,738,779
939,736,778
944,782,802
950,735,784
974,730,782
1025,760,750
1013,751,719
1011,782,700
915,894,689
912,1032,690
870,815,688
824,782,716
821,876,718
821,912,738
887,984,763
1006,996,792
1034,1054,834
1174,1052,818
1200,923,830
1247,955,832
1298,834,849
1352,737,852
1444,761,877
1354,697,896
1354,665,941
1507,640,960
1474,655,1084
1550,611,1142
1439,659,1102
1293,642,1039
1348,692,1086
1275,693,998
1324,759,1028
1535,802,990
1707,1070,1118
1804,1246,1128
1962,1245,1166
1958,1112,1060
1843,1185,1035
1842,1170,1033
1851,1224,1015
1886,1236,1014
1827,1154,999
1913,1369,948
1999,1292,946
1946,1230,965
1871,1163,958
1759,1301,984
1920,1545,1025
1797,1572,1042
1697,1544,944
1737,1465,883
1856,1454,837
1482,1776,837
1195,1435,772
1103,1283,772
1014,1178,771
1022,1095,775
934,1080,779
1005,1090,799
1140,1184,847
1123,1134,870
1184,1072,855
1249,941,869
1465,935,860
1359,847,891
1498,745,897
1527,768,890
1352,687,932
1392,647,957
1498,659,959
1400,594,1006
1488,578,1047
1374,617,1058
1255,577,1001
1214,555,976
1087,488,911
1104,509,904
1135,520,869
1204,542,877
1275,612,868
1270,622,878
1198,616,834
1144,571,819
1106,520,783
1013,530,775
968,535,756
966,513,765
969,513,767
957,506,778
883,487,776
907,471,778
900,485,774
881,525,793
929,501,772
951,563,751
914,548,698
833,528,713
811,577,697
772,591,687
757,576,690
712,546,707
729,614,710
729,637,717
827,773,753
883,823,794
966,891,825
1030,777,823
1054,656,819
1032,627,829
1155,504,827
1232,474,834
1317,473,851
1222,412,886
1226,378,911
1290,361,922
1323,338,972
1370,311,1070
1251,313,1029
1109,304,977
1067,293,932
1000,293,896
980,289,873
1006,304,849
1063,322,851
1078,386,863
1100,386,851
1056,373,841
1011,381,818
1002,397,811
1006,436,795
960,479,787
951,486,792
936,514,778
937,515,786
887,507,783
944,525,802
917,534,784
928,566,820
935,537,801
929,559,792
871,585,740
862,589,748
852,668,719
787,600,718
775,630,719
749,558,728
781,624,744
764,755,759
860,797,791
931,885,840
1027,1015,868
1063,932,853
1102,883,850
1142,968,852
1215,872,872
1234,832,889
1388,829,904
1234,827,941
1298,696,922
1282,724,955
1309,694,990
1353,686,1090
1194,632,1053
1141,658,1038
1044,590,976
987,583,925
968,623,883
1020,736,878
1138,813,860
1225,813,853
1194,676,839
1158,728,836
1069,627,795
1050,568,803
1003,514,766
942,538,754
970,503,739
973,513,743
958,520,757
871,505,758
897,528,775
917,476,765
895,510,782
865,516,792
891,562,752
909,563,728
882,572,721
851,613,699
799,588,690
787,548,702
758,521,717
758,571,724
745,593,743
828,705,754
907,771,823
938,747,827
1026,718,831
1065,717,836
1081,716,847
1136,606,855
1247,615,893
1275,623,882
1165,572,934
1258,563,911
1295,569,964
1335,515,991
1379,517,1088
1246,543,1065
1123,532,1010
1027,474,937
986,458,905
978,427,860
1013,461,846
1108,483,845
1142,651,885
1152,610,839
1114,597,813
