Tensometr 1,Tensometr 2,Tensometr 3
924,848,738
924,851,738
962,966,753
964,892,761
1050,1048,793
1087,1025,806
1157,1105,850
1204,1146,892
1254,957,896
1308,1043,887
1441,1007,886
1465,967,886
1491,984,894
1768,921,910
1572,903,929
1641,853,919
1760,855,950
1917,799,962
1740,863,994
1705,827,1005
1952,821,1037
1951,842,1045
1861,816,1135
1828,773,1101
1941,750,1221
1811,734,1171
1740,863,994
1705,827,1005
1952,821,1037
1951,842,1045
1861,816,1135
1828,773,1101
1941,750,1221
1811,734,1171
1844,814,1251
1571,770,1129
1646,779,1135
1464,713,1034
1493,726,1043
1413,665,978
1443,696,1016
1413,681,938
1535,759,1016
1684,756,981
1875,851,1092
1890,873,990
1907,919,1064
1744,921,1010
1728,878,973
1517,840,915
1473,826,914
1448,793,846
1408,737,838
1403,713,831
1342,682,823
1394,695,805
1310,689,809
1313,662,810
1269,694,814
1357,673,823
1345,688,825
1263,690,805
1205,717,831
1208,648,816
1157,667,843
1170,653,798
1128,716,801
1116,684,809
1152,656,809
1214,649,777
1196,675,784
1203,700,743
1165,740,733
1103,640,725
1004,657,720
988,668,715
941,690,701
905,664,705
849,586,702
814,589,715
818,548,719
810,574,726
810,637,738
831,731,753
904,776,764
914,802,780
973,971,817
962,866,836
1045,760,807
1045,763,814
1113,740,802
1053,702,809
1119,665,804
1104,687,818
1197,622,804
1186,573,841
1253,570,834
1160,595,847
1190,554,815
1173,522,850
1194,495,836
1259,489,867
1211,468,859
1215,488,888
1256,437,884
1308,435,991
1268,427,934
1219,452,968
1147,395,912
1105,398,897
1018,353,841
1002,366,839
973,328,793
960,330,808
971,324,758
963,359,776
1025,344,751
1028,395,761
1015,389,760
1035,406,770
1108,403,748
1051,408,756
1040,409,744
1047,417,734
1047,414,723
996,414,732
987,417,723
966,420,717
960,436,727
965,440,729
982,453,736
971,463,744
991,446,755
1005,452,753
1006,468,766
947,470,769
950,445,773
947,438,791
974,436,791
930,475,775
945,496,789
950,519,776
994,500,787
994,530,782
1034,489,752
1061,545,743
1074,555,758
1054,566,748
1007,588,753
987,618,747
941,581,736
907,541,740
855,580,765
904,588,759
861,588,777
905,623,788
899,578,809
997,651,847
1001,633,873
1100,670,918
1058,577,902
1196,601,892
1172,552,876
1197,508,846
1147,526,862
1280,469,864
1176,459,861
1276,432,855
1219,459,862
1191,427,855
1176,437,868
1178,415,834
1220,402,870
1276,396,856
1202,409,874
1162,390,891
1199,395,936
1253,380,944
1172,404,949
1071,394,906
1058,387,898
1009,372,850
981,354,832
960,339,812
939,335,816
945,311,774
965,317,783
967,314,753
974,340,778
1001,351,786
1016,380,805
1057,402,797
1014,384,791
1030,382,758
1003,397,773
1002,405,781
1023,406,772
1011,393,760
983,393,750
964,425,763
1007,473,751
968,501,774
965,474,767
916,495,772
929,506,757
972,475,768
907,452,785
923,466,793
964,464,796
977,525,831
936,514,816
930,526,837
917,549,830
952,559,836
918,607,793
979,635,821
1056,636,765
1003,651,766
919,614,761
880,580,749
895,666,728
847,643,732
856,686,727
771,656,727
791,644,736
770,621,736
804,697,742
777,710,759
875,806,765
875,829,788
967,847,822
951,943,846
1043,825,868
1013,778,860
1192,745,851
1093,719,848
1137,735,851
1147,669,845
1179,613,853
1175,549,872
1251,538,866
1194,574,870
1232,533,850
1246,521,868
1168,482,845
1255,493,857
1270,483,859
1164,472,912
1159,442,903
1263,442,960
1249,432,932
1164,455,964
1102,429,931
1048,430,910
997,413,859
969,378,845
966,361,825
942,354,793
919,347,786
936,355,761
977,362,763
994,382,757
1021,408,776
1055,430,760
1045,424,773
1004,402,761
976,375,756
986,382,739
970,397,736
917,380,715
938,374,730
940,385,706
939,407,729
917,412,727
883,421,737
846,405,736
873,400,761
869,413,745
881,412,772
875,407,751
898,427,777
880,419,770
931,439,792
890,459,763
937,495,800
952,490,766
956,519,787
971,534,757
1014,535,754
992,533,740
951,516,762
905,562,727
820,607,724
813,632,737
764,575,721
789,581,715
755,515,726
799,573,721
758,573,728
816,588,745
810,614,753
907,685,780
893,681,815
993,883,840
981,730,847
1086,727,840
1098,722,821
1130,673,811
1051,740,826
1128,614,821
1107,603,843
1157,560,840
1149,547,850
1157,539,832
1115,549,855
1165,524,847
1142,494,847
1168,469,862
1235,490,879
1224,478,880
1177,444,908
1240,436,949
1298,423,973
1252,444,961
1147,443,939
1098,430,904
1042,412,880
997,393,867
977,361,817
968,353,806
999,350,792
1033,380,801
1069,384,774
1107,412,819
1163,415,815
1180,449,820
1216,456,796
1171,435,796
1099,437,777
1136,446,786
1155,437,766
1110,427,784
1079,407,765
1098,428,790
1119,438,774
1055,445,786
1070,414,799
1040,464,809
1179,460,816
1189,508,847
1245,494,864
1252,503,883
1446,532,920
1567,591,935
1750,616,971
1830,682,1038
2087,761,1085
2183,685,1072
2431,773,1085
2368,754,1016
2262,935,1036
2251,786,1040
2288,947,1040
2141,944,1015
2079,1119,1032
1864,1135,967
1736,1120,1007
1528,970,982
1579,1248,1030
1523,1182,1032
1743,1427,1065
1695,1370,1066
1891,1507,1118
1929,1683,1164
1948,1810,1228
1929,1272,1173
1918,1268,1148
2010,1158,1110
2078,1259,1145
2058,1389,1149
2276,1423,1103
2287,1483,1109
2275,1302,1088
2223,1198,1065
2227,1150,1040
2018,1171,1043
1977,1036,1055
1923,1200,1041
2045,1170,1080
2016,1162,1159
2163,1072,1222
2454,988,1286
2518,911,1288
2139,916,1282
1990,823,1216
1832,784,1135
1789,775,1106
1711,717,1021
1725,726,1014
1637,670,953
1721,683,944
1641,690,916
1652,720,922
1659,769,932
1711,787,949
1554,791,961
1566,759,992
1405,766,967
1423,772,944
1342,691,917
1310,663,911
1297,631,866
1251,640,870
1218,524,828
1146,516,827
1122,473,795
1112,495,804
1080,463,776
1096,489,768
1093,466,772
1135,504,791
1082,459,783
1085,477,767
1062,444,775
1094,481,803
1054,473,782
983,488,781
1033,472,780
1035,501,789
1079,483,786
1095,534,807
1048,545,739
1069,535,735
1054,524,745
1017,601,733
960,620,723
880,548,725
855,550,718
823,596,713
810,601,718
787,580,718
798,630,716
798,667,721
846,681,745
868,702,755
