Tensometr 1,Tensometr 2,Tensometr 3
1129,742,863
1164,719,866
1189,662,881
1313,636,886
1268,609,922
1331,572,901
1289,583,968
1334,555,925
1457,565,980
1375,547,965
1403,521,1051
1493,508,1079
1570,520,1105
1383,528,1060
1329,526,1058
1233,490,1001
1217,513,1002
1134,474,951
1125,514,957
1116,460,917
1159,539,925
1214,514,911
1336,620,958
1389,631,949
1443,734,1016
1373,686,955
1344,724,926
1272,671,900
1275,727,864
1322,694,850
1268,711,845
1309,662,845
1308,688,822
1258,634,834
1189,618,813
1191,584,814
1214,602,824
1173,614,815
1087,569,838
1078,567,855
1213,585,827
1126,598,850
1090,592,830
1055,629,875
1154,617,848
1138,611,858
1265,597,791
1238,601,774
1241,667,749
1163,646,761
1041,678,740
959,695,732
935,734,717
831,726,713
821,697,700
774,657,705
788,633,717
726,629,705
774,715,710
725,685,713
801,773,725
803,751,745
887,832,782
902,907,803
996,793,809
990,679,806
1127,684,793
1099,589,788
1096,526,795
1095,481,798
1152,458,840
1133,442,841
1223,431,850
1225,428,863
1252,412,848
1224,416,906
1228,405,893
1274,420,906
1301,412,929
1339,426,953
1342,411,980
1358,413,1100
1344,436,1069
1292,433,1070
1198,418,1026
1155,419,1002
1103,415,977
1076,416,941
1110,434,965
1155,451,926
1212,461,938
1246,509,963
1343,553,988
1389,589,1013
1437,604,1044
1393,620,960
1374,620,941
1296,673,914
1280,737,875
1338,717,863
1253,741,866
1285,734,871
1289,746,878
1171,689,852
1175,664,858
1157,696,849
1189,659,874
1138,676,864
1076,656,886
1148,608,865
1169,585,883
1185,601,865
1103,578,885
1183,652,854
1150,627,874
1257,635,873
1281,649,867
1204,686,814
1207,599,789
1130,615,786
1068,628,794
969,643,747
918,641,732
885,670,736
848,647,728
821,586,723
803,578,725
822,633,729
793,663,729
811,706,737
846,715,756
888,819,772
960,882,800
985,1031,833
1000,885,840
1058,817,828
1176,779,827
1115,736,838
1101,760,844
1162,678,840
1146,632,876
1203,566,878
1221,576,915
1227,580,897
1227,550,884
1223,561,949
1196,563,922
1248,545,947
1338,553,957
1313,524,1002
1339,526,1067
1349,524,1140
1331,565,1116
1299,584,1100
1173,553,1043
1151,554,1045
1083,529,963
1071,553,1009
1049,518,940
1135,573,971
1168,532,977
1229,674,996
1396,638,987
1433,741,1035
1399,668,1015
1356,691,972
1365,626,923
1308,661,883
1281,606,854
1273,657,859
1233,632,832
1216,665,847
1196,635,815
1148,648,833
1116,653,805
1115,593,814
1124,607,816
1091,586,829
1122,580,811
1131,530,843
1143,546,809
1101,546,816
1140,593,833
1109,596,839
1150,591,816
1085,571,822
1152,564,771
1107,571,749
1038,579,759
979,596,771
918,606,758
854,547,754
824,557,732
832,569,714
796,541,718
784,505,729
747,528,728
757,559,720
735,602,724
778,636,741
815,633,754
876,759,787
911,841,816
954,776,839
982,771,830
1076,780,807
1079,710,823
1065,691,826
1014,711,850
1103,663,843
1119,640,874
1178,580,864
1189,627,886
1241,571,878
1232,566,933
1235,534,891
1287,541,914
1337,537,920
1342,536,964
1248,541,1024
1394,533,1086
1354,529,1089
1347,568,1136
1185,530,1057
1159,525,1062
1085,473,996
1096,524,1031
1062,462,934
1115,522,990
1142,449,930
1169,596,986
1303,535,945
1367,664,1026
1432,655,1002
1480,696,988
1361,710,950
1363,744,938
1347,782,916
1315,727,904
1320,720,868
1262,707,889
1317,747,855
1226,727,902
1306,674,871
1286,694,910
1409,730,892
1365,712,890
1376,737,880
1264,707,878
1434,660,865
1393,650,873
1359,657,872
1330,707,867
1314,728,857
1313,733,833
1394,750,839
1476,758,821
1571,854,807
1474,759,817
1439,821,828
1431,940,819
1354,962,821
1330,1045,828
1269,907,824
1212,952,839
1104,814,854
1190,927,863
1155,872,868
1291,983,904
1281,969,926
1466,1038,973
1458,1091,983
1634,1085,1045
1650,990,1032
1767,1052,1026
1744,970,1039
1924,962,1039
1842,953,1083
1920,862,1102
1810,825,1076
2032,847,1115
2052,849,1138
2150,889,1155
2183,816,1176
2258,798,1197
2130,786,1289
2205,841,1292
2350,834,1367
2564,820,1526
2567,945,1615
2546,928,1542
2541,922,1595
2570,917,1518
2606,913,1575
2772,941,1518
2712,966,1576
3057,1104,1657
3432,1131,1748
3434,1831,1992
3433,1804,2256
3433,2394,2124
3435,2358,2209
3418,2591,2248
3432,2894,2177
3434,2538,2100
3434,2328,2064
3046,1964,1856
2872,1845,1723
2692,1750,1587
2763,1846,1410
2622,1515,1395
2350,1318,1346
2147,1213,1297
2098,1159,1254
2073,1057,1229
2035,990,1189
1956,943,1184
1888,911,1182
1802,904,1172
1738,937,1161
1758,926,1081
1758,867,1061
1662,812,1020
1688,789,982
1492,770,970
1513,738,853
1503,729,862
1470,733,841
1298,717,812
1119,687,798
1009,642,763
992,590,751
943,572,748
868,560,742
805,502,744
833,564,732
789,571,746
784,597,753
784,615,760
896,654,767
880,757,803
945,827,837
949,877,870
1070,739,850
1054,721,832
1133,721,839
1077,705,842
1148,752,837
1122,729,835
1186,648,856
1173,627,866
1226,612,877
1226,616,892
1209,587,874
1175,593,903
1170,532,913
1213,586,907
1310,549,905
1302,574,979
1315,538,984
1395,550,1123
1348,551,1036
1291,584,1088
1201,523,1028
1180,531,1015
1091,502,943
1051,534,968
1074,468,902
1072,504,916
1118,481,900
1149,562,941
1249,613,970
1320,612,1013
1425,649,1045
1341,681,1056
1330,640,1051
1300,622,1001
1258,618,954
1260,660,915
1224,563,901
1221,564,879
1269,565,884
1255,590,857
1242,554,869
1207,562,845
1210,576,853
1225,654,837
1196,603,865
1198,652,832
1198,643,869
1187,680,844
1104,681,873
1151,624,859
1149,691,886
1198,699,850
1193,698,854
1184,696,814
1122,721,802
1076,761,794
1035,774,805
1029,838,756
921,828,739
954,869,711
887,742,709
852,777,707
798,612,714
783,652,727
753,681,718
790,719,723
767,807,740
832,903,757
852,884,773
912,978,813
908,1018,840
1024,877,829
1033,947,835
1105,889,824
1038,744,829
1079,799,837
1086,794,847
1179,735,852
1200,670,894
