Tensometr 1,Tensometr 2,Tensometr 3
1140,1630,838
1182,1595,848
1207,1774,834
1274,1812,865
1208,1945,880
1247,2349,906
1259,2105,913
1281,2378,931
1297,2343,975
1310,2247,1013
1312,1961,956
1299,2383,992
1234,1953,967
1225,2016,956
1172,1907,924
1167,1927,919
1115,1602,891
1102,1590,878
1047,1348,850
1060,1425,855
1047,1302,816
1048,1259,824
1033,1135,802
1036,1135,798
1027,1063,763
1040,1101,782
1032,1007,765
1048,1028,776
1078,1011,750
1075,1013,752
1093,985,740
1100,993,749
1090,995,749
1083,934,757
1119,903,759
1125,861,764
1126,790,761
1105,790,754
1106,757,744
1096,706,744
1084,687,727
1078,681,730
1035,674,725
1026,639,714
1018,614,725
1016,596,707
989,587,714
989,561,705
977,550,694
945,537,685
935,523,685
926,509,683
907,507,685
914,478,694
873,461,687
896,474,675
861,450,689
878,435,694
832,431,704
823,434,701
806,429,702
838,431,691
839,446,701
831,413,691
820,412,704
811,401,684
827,388,699
820,394,682
789,394,708
786,375,693
761,390,704
783,382,689
758,370,691
748,368,697
751,378,684
764,383,691
740,384,678
737,362,686
727,379,681
730,364,684
739,364,685
724,369,681
714,381,690
713,374,677
707,371,686
736,353,667
708,356,672
711,356,661
709,357,678
704,357,668
700,359,648
692,356,656
669,365,637
670,362,653
665,355,649
681,355,656
688,353,653
685,365,654
689,371,659
684,381,654
688,375,661
678,351,651
689,346,662
685,337,657
685,334,661
686,342,671
675,340,661
656,335,664
654,356,667
638,351,674
657,335,684
646,341,680
650,352,679
661,355,682
675,382,677
663,397,691
674,413,701
673,427,699
695,437,715
708,440,732
725,450,725
720,457,743
746,479,761
742,492,769
790,503,783
790,477,804
861,466,790
841,478,783
901,481,784
899,491,789
941,465,784
948,450,794
942,467,794
942,450,799
955,446,791
967,434,811
1016,449,801
1024,433,806
1050,423,824
1065,421,837
1113,407,838
1049,428,836
1101,435,839
1141,437,841
1194,435,840
1151,435,853
1174,421,862
1167,438,877
1198,437,874
1183,425,878
1188,427,868
1237,426,887
1289,417,886
1262,435,895
1247,429,916
1304,432,960
1355,421,939
1323,410,1000
1328,396,1013
1379,404,980
1325,405,979
1285,447,973
1272,448,954
1224,445,935
1192,421,922
1179,420,899
1141,421,899
1106,402,887
1103,398,874
1098,393,856
1091,391,872
1089,385,833
1080,382,843
1103,375,816
1118,388,823
1127,382,817
1176,407,816
1171,417,788
1216,443,801
1231,468,785
1309,505,809
1346,523,783
1415,579,818
1464,556,803
1497,652,842
1489,611,812
1511,626,837
1435,596,802
1486,647,798
1430,586,791
1426,615,801
1406,550,775
1390,573,784
1378,576,777
1316,565,771
1338,551,765
1398,535,759
1429,523,748
1378,548,754
1336,522,739
1317,522,755
1315,530,755
1273,546,772
1243,543,773
1217,559,764
1253,559,769
1278,535,791
1288,531,781
1271,524,792
1287,556,780
1306,561,793
1349,570,805
1388,588,798
1377,602,804
1373,628,809
1367,629,804
1377,640,810
1379,635,828
1394,633,815
1468,622,832
1334,661,818
1364,676,823
1392,664,802
1329,661,796
1367,690,785
1363,700,812
1413,773,803
1421,797,824
1277,810,803
1329,757,818
1381,760,769
1367,779,799
1431,750,793
1438,805,780
1478,730,770
1455,766,768
1367,755,758
1481,806,777
1388,733,769
1421,706,775
1303,682,760
1309,689,760
1287,695,771
1245,707,780
1202,656,767
1119,663,758
1100,663,763
1042,617,754
1053,598,756
994,593,757
1026,593,751
994,549,759
990,552,766
1006,552,756
1014,591,767
980,591,779
991,595,774
1344,653,877
1339,623,875
1350,634,884
1381,638,904
1344,653,877
1339,623,875
1350,634,884
1381,638,904
1140,713,839
1117,705,839
1207,730,855
1196,683,874
1267,691,867
1259,691,880
1257,727,875
