Tensometr 1,Tensometr 2,Tensometr 3
1327,415,950
1262,424,964
1233,416,969
1263,414,959
1195,404,963
1262,424,964
1233,416,969
1263,414,959
1195,404,960
1265,406,873
1299,399,885
1358,415,887
1327,411,913
1420,422,915
1375,417,923
1392,407,981
1448,410,948
1432,410,950
1492,403,948
1452,412,966
1435,396,941
1398,413,970
1427,403,958
1413,410,1013
1355,395,953
1408,407,968
1211,436,979
1174,413,939
1194,445,934
1169,461,923
1165,453,918
1139,461,926
1133,485,944
1106,430,950
1081,430,942
1072,449,920
1056,418,925
1028,425,890
1027,449,895
989,464,888
966,448,888
930,434,875
930,439,886
909,432,874
913,447,894
883,445,880
907,446,903
890,437,892
908,455,908
907,487,904
895,444,924
890,466,908
893,456,922
903,469,935
909,475,958
935,461,968
939,488,989
967,501,999
991,491,992
1037,553,997
1056,557,1019
1132,567,1036
1141,571,1013
1162,536,1040
1102,573,1024
1157,590,1017
1123,534,1002
1097,529,991
1048,517,1001
1027,527,969
1030,501,934
1022,529,953
1031,530,947
1078,528,939
1084,494,919
1127,502,933
1126,502,920
1175,491,947
1235,511,963
1266,504,947
1249,525,944
1244,531,980
1291,539,959
1338,530,973
1400,525,977
1401,479,978
1393,488,963
1390,473,959
1434,498,957
1562,498,967
1580,517,977
1546,526,980
1542,507,971
1614,492,992
1707,493,1029
1656,466,1079
1677,464,1075
1669,450,1037
1593,474,1041
1480,442,1011
1501,432,996
1375,405,961
1336,411,957
1284,391,928
1277,394,924
1212,376,894
1209,373,883
1195,360,853
1206,366,864
1196,352,839
1196,368,846
1226,354,822
1208,348,834
1192,349,808
1200,358,809
1246,360,803
1235,360,804
1278,365,789
1262,378,784
1273,371,798
1240,398,791
1252,390,801
1236,373,792
1216,370,784
1166,347,767
1139,331,762
1093,316,758
1084,312,755
1092,291,764
1058,285,756
1062,280,767
1032,282,742
1010,272,731
973,268,733
990,267,722
1002,263,725
952,257,712
954,257,718
964,259,704
927,258,704
923,248,695
917,250,701
909,237,684
928,234,692
899,233,675
896,237,683
872,229,669
877,228,689
826,227,674
822,230,685
821,219,677
820,233,685
843,234,668
820,232,684
814,245,671
829,240,675
818,243,660
776,237,673
778,241,675
750,243,674
751,246,682
748,239,683
729,236,683
745,245,680
737,227,691
746,233,697
732,239,690
729,239,679
713,238,676
731,241,693
715,260,669
715,256,689
708,263,669
709,280,681
724,273,661
733,271,676
734,273,658
722,279,670
718,272,656
723,273,648
731,279,635
719,264,639
694,265,626
695,267,640
707,273,645
706,283,649
709,268,634
705,277,640
717,271,642
706,278,648
711,273,655
690,277,653
677,274,667
658,258,657
657,252,659
644,246,656
635,247,660
635,249,649
621,245,655
629,255,649
605,258,660
617,253,664
602,255,662
618,257,665
617,264,660
641,272,667
634,272,680
638,285,680
627,289,684
647,299,688
653,303,700
689,311,714
678,319,716
717,333,730
717,330,752
741,349,750
753,346,771
780,370,784
787,373,772
816,355,788
828,366,773
852,370,759
856,358,783
852,367,762
881,360,777
876,363,776
837,359,764
837,357,779
869,356,778
910,355,775
920,351,782
936,342,784
958,338,777
964,329,794
982,336,799
1023,332,803
1019,339,796
998,338,812
996,360,815
1019,368,803
987,371,822
980,360,830
985,332,830
999,325,816
1024,317,814
1062,319,834
1085,334,843
1093,330,837
1069,323,864
1092,337,894
1178,334,885
1148,339,920
1138,325,945
1141,330,927
1106,332,917
1089,343,925
1044,312,897
1018,311,882
981,289,862
980,297,857
948,284,825
938,296,808
919,282,781
911,283,791
921,276,770
896,285,782
890,271,757
887,279,765
893,275,737
893,294,759
932,290,747
944,314,768
972,322,752
970,338,773
983,346,771
953,359,778
975,360,770
959,356,763
948,360,749
933,366,762
948,351,746
930,355,733
944,341,727
927,336,725
915,334,713
880,344,714
902,324,691
875,333,707
885,329,692
877,342,687
838,341,678
833,312,687
851,316,676
840,326,680
854,316,689
865,314,675
868,308,679
830,313,675
819,315,669
806,293,682
830,298,675
830,285,686
795,305,697
785,308,683
777,302,693
750,306,697
749,310,689
716,311,692
735,325,701
698,329,694
715,321,714
715,308,696
711,306,694
686,312,698
682,304,696
696,301,696
692,290,719
691,296,694
692,293,710
684,303,704
684,320,713
716,310,686
686,307,686
695,314,689
680,308,674
676,312,671
675,308,660
670,310,668
656,302,652
636,310,662
649,307,675
638,316,652
644,321,658
661,305,648
661,294,652
666,305,656
650,298,651
659,310,654
637,303,646
640,308,648
619,279,657
622,278,647
613,259,653
594,258,647
602,267,653
609,262,664
608,260,657
618,274,661
632,282,661
631,296,667
623,296,677
630,292,673
629,303,680
652,309,698
664,311,705
677,324,718
685,328,725
692,331,734
708,334,753
731,342,774
747,365,775
756,355,790
789,355,782
791,372,771
823,362,771
838,357,765
868,360,771
866,347,782
860,346,766
857,353,779
845,345,782
869,351,770
888,343,777
927,334,800
961,341,795
945,334,789
982,349,803
982,347,817
1030,365,797
1015,355,814
1003,351,815
1047,362,796
1017,359,802
1023,352,828
1046,349,827
1054,347,840
1046,317,834
1066,339,853
1127,351,825
1133,372,846
1146,369,857
1178,377,874
1174,353,872
1163,363,917
1221,360,929
1220,361,961
1215,363,988
1223,342,969
1199,353,961
1150,389,976
1096,331,933
1093,356,933
1043,317,913
1028,331,895
999,301,861
985,307,839
978,291,819
955,292,814
966,278,787
954,290,783
949,276,771
964,290,768
972,272,746
992,293,747
1030,298,744
1022,303,749
1042,322,751
1040,337,751
1019,345,753
1002,353,768
1039,353,762
1044,351,770
1026,345,758
1035,348,760
1019,343,742
