Tensometr 1,Tensometr 2,Tensometr 3
1171,1153,828
1307,1137,822
1226,995,819
1171,1153,828
1307,1137,822
1226,995,819
1185,824,776
1193,823,778
1149,867,729
1097,865,728
1150,891,726
1021,1033,706
985,1072,703
908,1025,709
879,877,705
829,826,706
816,828,712
804,806,714
837,873,731
813,849,736
885,957,762
911,913,780
1047,1034,805
1050,1105,847
1118,1029,843
1247,1062,815
1387,936,824
1306,872,827
1362,783,838
1442,787,858
1439,761,862
1402,714,862
1400,708,909
1484,709,900
1503,710,901
1430,723,944
1390,681,993
1458,670,1064
1537,685,1085
1451,777,1130
1325,655,1059
1384,697,1075
1265,637,1022
1274,677,1043
1252,623,972
1271,693,1017
1324,662,966
1467,807,1060
1527,772,1034
1651,957,1140
1810,908,1131
1843,1036,1192
1766,1013,1141
1842,1061,1121
1713,1044,1030
1660,993,1030
1707,1012,979
1683,937,995
1623,950,945
1603,974,964
1673,1105,971
1561,1087,987
1778,1114,964
1575,1069,976
1729,1221,954
1691,1210,946
1621,1268,925
1590,1025,971
1731,1301,942
1603,1151,952
1701,1207,957
1601,1174,984
1760,1497,943
1697,1186,975
1894,1272,877
1724,1323,837
1900,1392,812
1834,1325,823
1674,1760,786
1425,1625,760
1289,1563,762
1188,1421,734
1135,1212,728
990,1108,748
992,1047,745
934,1006,746
903,1029,755
924,1004,778
1007,1044,783
1075,1156,789
1142,1235,829
1192,1145,856
1195,1029,852
1260,1075,813
1277,1129,812
1206,1003,815
1180,1027,822
1200,946,809
1205,854,834
1322,792,827
1260,791,834
1365,759,827
1377,705,852
1310,681,834
1243,651,844
1182,628,846
1271,624,859
1255,594,869
1218,610,903
1224,545,916
1293,537,996
1203,482,958
1186,497,984
1109,464,922
1081,452,934
1000,417,863
983,426,873
948,398,811
921,399,826
916,363,777
912,385,783
962,377,744
969,404,791
992,410,764
980,453,797
1018,454,777
993,440,770
971,448,750
955,432,763
964,407,763
941,422,762
940,386,738
919,439,752
924,447,740
926,471,748
911,483,752
874,476,751
884,463,734
888,469,758
857,482,754
854,518,761
872,540,761
847,533,771
890,545,775
860,605,768
877,652,781
955,676,790
946,673,784
939,751,768
959,781,741
949,787,740
955,870,736
919,899,733
858,948,720
836,952,711
801,858,718
780,758,715
760,726,716
768,670,733
763,752,733
768,743,726
766,750,745
848,812,761
860,824,779
937,924,832
929,836,857
1000,759,852
986,738,844
1128,664,833
1031,552,833
1132,530,840
1123,485,849
1214,434,848
1190,397,860
1279,412,851
1206,393,863
1306,398,838
1192,374,868
1213,354,874
1232,347,874
1201,348,866
1183,361,898
1207,330,896
1238,316,1010
1205,308,951
1172,320,987
1053,298,922
1025,298,911
946,281,860
931,285,852
901,275,792
881,277,808
940,266,788
932,282,791
942,288,762
928,329,795
937,341,785
957,347,803
948,369,784
911,369,760
913,339,774
896,372,770
895,368,752
867,367,774
871,388,744
850,427,750
870,462,767
842,487,764
832,449,752
834,468,772
850,469,761
842,470,771
828,449,784
818,470,795
828,488,796
858,494,802
875,542,807
899,591,806
960,604,813
960,657,792
985,678,779
988,692,749
959,703,738
959,750,748
903,756,735
855,816,716
815,790,720
798,801,719
760,784,716
766,788,738
751,735,737
763,788,736
753,738,743
833,783,764
849,761,784
949,766,808
920,837,838
1039,795,841
1017,773,850
1183,873,832
1091,757,824
1120,869,820
1054,844,818
1195,733,821
1169,681,820
1287,635,821
1261,677,844
1326,611,854
1286,625,859
1242,605,845
1163,618,867
1212,617,859
1231,627,891
1224,609,890
1269,605,937
1245,552,990
1234,633,974
1159,583,951
1113,563,924
1038,527,882
1018,521,867
978,479,835
948,490,819
957,464,777
939,485,779
924,479,762
938,510,753
952,535,755
999,557,789
1006,550,777
992,588,786
968,550,764
951,544,771
922,497,769
941,480,760
910,448,768
884,445,748
878,447,747
866,466,746
862,461,751
851,435,733
885,459,746
889,478,744
879,515,746
839,488,742
878,486,761
867,526,760
914,513,774
876,583,754
913,599,779
956,588,768
1011,596,783
1002,611,758
946,627,739
941,642,743
915,650,730
867,701,699
810,700,704
816,746,696
766,639,685
750,634,707
716,665,706
745,673,718
722,633,718
765,674,729
785,715,754
877,810,764
870,754,800
975,768,837
937,733,829
1025,743,804
1010,733,814
1051,724,805
1006,785,815
1106,762,819
1078,654,836
1204,605,824
1175,615,852
1233,592,833
1193,574,843
1199,587,854
1182,595,878
1205,553,865
1239,580,873
1244,569,883
1175,526,934
1204,498,953
1275,474,993
1200,488,961
1134,465,944
1081,450,907
1045,426,882
977,408,849
950,394,807
938,388,797
918,370,782
947,366,772
945,384,760
963,398,785
978,422,781
997,435,796
1035,414,789
1014,449,786
970,432,764
983,384,774
937,385,758
922,389,746
929,356,729
917,394,733
973,408,734
924,413,740
917,420,745
925,414,744
1006,441,746
1005,451,768
977,486,755
1004,487,785
1103,523,774
1080,519,790
1045,558,775
1087,603,787
1123,641,771
1160,656,765
1126,721,758
1164,729,731
1185,777,729
1134,825,732
1161,912,729
1066,1044,755
1136,1096,746
1038,943,740
1046,931,743
955,878,753
1094,1114,767
976,943,765
1129,1008,788
1111,986,804
1254,1123,850
1337,1211,885
1453,1275,902
1561,1140,894
1703,1280,897
1649,1228,886
1653,1121,878
1666,1003,899
1768,903,931
1701,804,930
1822,736,979
1860,685,988
1739,709,981
1710,654,1002
1572,616,990
1619,618,1006
1618,611,1018
1656,620,1065
1691,609,1060
