Tensometr 1,Tensometr 2,Tensometr 3
2571,1703,1292
2882,1561,1343
2949,1448,1332
3068,1503,1411
2888,1514,1460
2796,1367,1445
2584,1433,1547
2913,1387,1567
2864,1412,1587
2776,1295,1622
2733,1227,1716
2485,1202,1943
2561,1419,1961
2299,1376,1792
2172,1400,1678
2123,1288,1560
1964,1263,1572
1983,1172,1581
1949,1187,1766
1844,1097,1733
1740,1084,1690
1462,998,1618
1430,971,1532
1229,942,1401
1227,848,1368
1189,795,1305
1160,771,1266
1139,756,1213
1081,753,1154
1018,653,1099
961,669,1099
989,696,1083
964,687,1083
944,687,1073
956,717,1086
951,711,1019
970,761,972
1019,725,985
955,822,966
891,788,947
854,763,946
844,812,826
826,807,965
851,853,832
922,882,855
1032,957,895
1078,850,906
1208,762,903
1178,737,900
1262,711,904
1384,622,896
1437,609,896
1454,576,878
1311,563,883
1345,567,900
1329,525,909
1330,489,953
1238,468,1042
1135,472,1017
1032,461,959
972,410,909
922,407,872
927,384,828
955,389,877
961,408,857
945,472,894
975,518,856
919,507,1023
901,517,1006
874,521,976
888,583,813
859,620,857
864,661,896
895,699,899
892,769,1042
850,774,1067
819,825,1038
846,880,999
829,954,1004
878,999,1005
867,1009,979
982,1116,947
920,1108,947
837,1227,913
858,1233,898
811,1108,887
776,1082,892
740,1021,876
812,1000,779
821,924,798
913,1079,848
902,981,859
959,877,836
1012,799,840
1156,801,835
1264,702,875
1417,642,869
1189,694,880
1137,623,932
1159,614,929
1223,599,978
1189,572,1057
1215,550,1152
1137,604,1102
1074,573,1026
993,542,1004
953,501,944
952,480,937
969,508,930
1012,505,941
1016,534,955
992,617,937
954,624,897
990,649,873
988,658,857
995,653,827
968,647,840
907,697,853
854,684,858
882,652,841
832,718,861
814,694,871
856,732,895
834,777,864
833,882,898
901,940,856
931,892,853
961,959,828
957,1088,817
874,1157,767
850,999,763
831,848,756
796,913,758
780,1043,766
862,938,792
904,1092,835
934,1102,892
1049,1272,854
1083,1233,855
1135,1541,853
1144,1633,875
1245,1391,882
1287,1633,893
1258,1831,856
1180,1921,921
1210,2221,883
1212,2403,942
1183,2530,1008
1174,2429,1045
1040,2386,978
976,2321,950
906,2285,877
885,2229,865
898,2131,807
879,2065,813
886,1801,814
906,1650,833
859,1291,928
821,1097,919
826,1026,883
793,884,774
823,837,748
781,784,769
728,801,776
747,767,776
725,710,770
691,687,778
730,722,803
710,746,783
729,750,813
737,798,842
790,839,790
819,867,766
866,948,774
811,1057,795
763,931,827
720,863,821
733,867,847
704,915,857
759,936,779
811,945,805
862,1111,854
955,1010,869
1043,938,845
1038,847,862
1109,823,862
1183,746,869
1275,732,871
1307,710,849
1208,667,878
1292,673,875
1278,642,924
1320,608,954
1283,597,1031
1138,585,982
1051,603,959
987,541,908
935,529,898
945,488,837
931,550,864
1001,588,864
1033,728,943
1048,742,933
1001,752,931
1056,837,888
1048,807,886
1044,832,901
1030,823,918
1073,827,902
1093,903,950
1168,1092,939
1140,1093,968
1225,1154,980
1258,1136,1011
1351,1530,1083
1468,1475,1114
1612,2101,1044
1576,1812,992
1950,1991,980
1885,2032,955
1732,2015,898
1593,1768,862
1364,1645,871
1218,1799,871
1350,1836,883
1371,1811,928
1880,1748,977
1707,1655,997
1924,1455,970
1698,1440,978
1879,1325,980
1968,1309,1027
1993,1062,1012
1923,1053,1019
1825,942,1022
1665,898,1036
1720,850,1028
1614,807,1092
1524,784,1191
1370,852,1163
1247,828,1083
1175,805,1026
1171,760,974
1073,696,950
1089,732,943
1141,728,950
1093,755,984
1150,768,943
1063,762,898
1036,699,855
988,697,814
934,688,801
946,672,814
908,684,791
843,682,808
885,797,787
821,706,813
872,751,806
877,793,818
925,826,840
932,889,863
989,942,827
987,950,789
1042,902,766
999,934,740
900,1107,729
820,975,732
794,857,734
739,858,735
777,1024,752
838,891,777
954,1081,814
985,958,856
1113,850,827
1153,749,819
1191,713,817
1207,641,861
1300,536,838
1290,592,843
1203,535,837
1162,535,857
1200,507,864
1195,495,907
1176,471,970
1149,504,1020
1032,465,954
989,461,914
914,416,861
865,385,844
870,348,811
885,390,861
941,417,844
951,466,869
913,404,939
871,416,925
854,431,858
798,396,811
801,408,802
775,419,823
773,431,820
773,465,854
774,470,872
758,446,881
799,515,900
800,488,915
815,512,938
869,516,919
877,508,852
901,552,851
881,618,841
845,773,790
808,783,767
811,707,782
785,714,788
808,893,793
873,869,816
945,953,856
962,1137,899
1065,890,868
1119,887,862
1162,849,846
1168,747,869
1319,686,872
1389,706,888
1345,627,891
1204,614,913
1298,598,912
1217,600,984
1224,550,1015
1205,583,1065
1070,544,991
968,557,975
908,484,902
868,472,899
880,483,818
862,551,864
885,590,838
903,700,877
951,716,931
873,726,910
854,770,924
828,761,921
818,808,849
797,920,822
783,953,836
770,955,838
806,1085,837
787,1101,853
877,1139,872
853,1258,894
833,1289,924
854,1312,944
901,1306,860
922,1285,836
996,1266,832
911,1253,806
867,1239,790
841,1207,782
849,1156,781
805,1186,797
873,1303,824
919,1170,843
1026,1327,885
1105,1007,892
1199,872,860
1187,834,868
1246,759,877
1302,660,876
1365,643,881
1387,627,892
1232,604,908
1296,595,896
1284,574,920
1260,518,962
1232,491,1046
1100,488,1034
1041,485,997
980,453,937
906,449,931
932,411,862
929,461,902
953,471,887
986,535,928
997,547,899
949,560,925
897,566,881
872,559,848
836,566,836
813,618,851
830,647,854
821,604,864
881,676,847
825,682,860
836,707,859
845,721,863
857,736,866
903,695,881
917,740,839
930,732,814
990,827,788
894,915,762
828,976,746
788,861,745
815,787,750
756,835,744
837,856,772
873,856,788
964,982,837
984,919,855
1139,828,844
1060,758,840
1192,803,839
1279,687,872
1453,664,901
1381,685,888
1287,611,901
1229,612,923
1316,605,922
1215,569,993
1234,531,1056
1161,551,1075
1064,535,1018
1025,503,1018
1058,483,931
1108,503,970
1275,560,1021
1444,684,1124
1635,864,1261
1634,780,1268
1568,694,1294
1557,687,1430
1510,774,1321
1443,780,1277
1546,895,1366
1637,998,1529
1594,1071,1562
1686,1131,1571
1954,1115,1590
1962,1140,1543
1984,1231,1593
2195,1347,1756
2189,1347,1752
2258,1364,1781
2438,1522,1745
2527,1680,1643
2287,1523,1661
2381,1497,1614
2082,1469,1683
2103,1418,1669
