Tensometr 1,Tensometr 2,Tensometr 3
1389,529,975
1434,534,986
1379,542,950
1383,569,961
1323,566,961
1321,570,927
1265,559,924
1220,547,897
1239,538,877
1188,522,862
1187,517,840
1137,496,831
1144,505,826
1113,505,813
1132,495,819
1118,473,798
1156,497,797
1152,490,774
1220,521,780
1221,510,761
1218,551,790
1271,577,763
1296,629,785
1360,624,769
1455,686,795
1407,728,783
1481,814,809
1536,801,809
1589,823,838
1517,757,817
1508,801,807
1501,751,785
1492,798,800
1492,787,794
1296,629,785
1360,624,769
1455,686,795
1407,728,783
1481,814,809
1536,801,809
1589,823,838
1517,757,817
1508,801,807
1501,751,785
1492,798,800
1492,787,794
1137,496,831
1144,505,826
1113,505,813
1450,851,786
1433,796,776
1429,816,778
1449,792,772
1461,773,783
1496,693,765
1457,728,787
1466,649,763
1462,722,783
1479,761,771
1516,768,792
1496,776,779
1594,725,790
1614,704,830
1614,726,820
1678,707,816
1672,804,815
1723,753,802
1726,754,809
1725,721,819
1719,758,830
1743,672,832
1823,679,858
1771,709,863
1859,728,856
1867,742,876
1817,801,908
1816,772,905
1814,805,946
1866,894,988
1846,902,1031
1953,930,1015
2016,907,1042
2082,945,999
2119,1030,997
2142,1050,972
2089,1084,1094
2026,1032,943
2070,1193,944
2104,1311,912
2089,1488,929
2067,1357,957
2034,1639,951
2017,1770,917
1945,1791,910
1920,1713,896
1868,1789,852
1845,1746,845
1825,1722,837
1812,1452,826
1788,1407,833
1784,1339,841
1771,1413,847
1677,1154,848
1732,1190,848
1639,967,866
1667,1156,848
1581,1046,860
1621,1262,856
1560,1095,858
1705,1158,873
1623,1124,888
1739,1117,888
1679,1137,905
1824,1108,929
1745,1164,932
1898,1166,951
1770,1222,943
1971,1310,971
1863,1156,941
1967,1096,950
1991,1048,949
2034,1019,927
1961,1022,950
1969,973,946
1897,994,934
1861,967,939
1858,987,968
1829,1013,945
1737,1095,958
1951,1080,931
1911,1282,949
2120,1153,955
1983,1015,974
2134,1093,947
1970,1126,977
1989,1048,958
1991,1063,970
1990,946,959
1998,935,961
1990,876,982
2009,827,976
1893,840,987
1773,784,1019
1794,795,984
1764,782,1002
1737,776,974
1770,777,997
1715,819,966
1713,758,981
1702,743,985
1678,732,993
1606,739,1007
1574,727,1013
1577,708,1028
1516,683,1061
1603,687,1051
1558,661,1094
1581,668,1129
1572,644,1131
1654,664,1132
1619,651,1093
1543,738,1142
1483,678,1105
1462,679,1110
1455,635,1057
1439,650,1069
1386,621,1029
1399,625,1038
1334,606,991
1321,614,1006
1268,597,956
1251,598,967
1244,575,932
1250,578,940
1238,548,916
1242,563,909
1242,533,902
1230,558,897
1228,540,870
1221,569,871
1227,553,843
1241,597,858
1249,578,824
1262,613,845
1243,589,833
1253,658,835
1261,647,834
1290,727,847
1321,724,844
1350,753,850
1426,742,846
1406,769,857
1450,740,847
1425,703,831
1391,695,815
1326,682,811
1319,689,804
1294,662,788
1287,643,787
1318,642,777
1256,616,780
1265,585,761
1220,581,767
1235,563,755
1275,558,762
1238,575,754
1258,556,767
1273,549,757
1274,538,760
1251,518,742
1263,584,754
1250,577,730
1198,571,739
1158,582,727
1182,579,739
1141,533,726
1110,591,735
1129,559,732
1174,537,751
1162,508,734
1123,510,745
1123,518,728
1129,524,741
1087,529,729
1110,531,737
1066,543,755
1117,520,721
1097,518,721
1080,495,740
1125,514,716
1074,508,799
1121,498,899
1095,491,915
1094,483,875
1039,490,752
1060,488,726
1066,501,730
1078,482,726
1116,492,741
1109,501,757
1130,493,934
1159,491,725
1178,477,719
1182,491,758
1166,510,713
1178,494,695
1130,502,708
1187,498,714
1179,509,713
1172,484,683
1137,516,686
1128,487,690
1072,487,680
1023,472,690
977,465,685
979,460,684
921,450,676
881,447,690
853,461,685
834,464,691
824,448,699
803,455,692
816,464,693
821,450,690
813,478,696
803,477,708
819,495,709
804,552,716
848,504,731
839,491,735
876,519,746
893,531,739
945,554,753
936,571,775
1026,619,787
989,663,795
1080,656,819
1035,648,801
1130,607,816
1104,616,816
1178,597,806
1155,559,806
1226,562,799
1144,545,801
1206,558,800
1094,580,797
1228,580,787
1182,550,786
1253,523,800
1224,514,815
1245,498,804
1222,510,817
1265,474,816
1194,494,822
1259,509,821
1229,498,830
1238,498,814
1244,493,824
1221,488,813
1199,497,837
1194,496,822
1180,526,844
1177,503,851
1168,514,839
1213,497,846
1237,508,837
1292,500,858
1311,493,873
1299,479,865
1273,498,890
1308,477,897
1234,475,916
1301,474,904
1262,471,952
1277,460,990
1335,465,983
1300,470,961
1268,481,956
1262,484,969
1220,487,944
1211,481,937
1151,435,921
1132,419,896
1114,412,894
1081,392,874
1040,370,844
1059,377,860
1014,345,829
1021,367,826
986,342,809
1004,346,809
1016,340,783
998,341,787
997,329,767
1034,344,795
1029,341,778
1060,351,788
1056,359,773
1056,368,795
1084,379,765
1086,403,791
1107,406,773
1135,409,786
1152,394,786
1123,382,789
1143,357,773
1082,346,776
1081,334,763
1080,325,756
1113,317,761
1070,317,762
1133,317,740
1078,320,760
1096,310,743
1047,308,744
1058,308,737
1026,319,752
1032,303,734
1033,309,739
1033,311,742
1010,320,742
976,323,750
953,324,747
955,322,747
935,327,760
926,324,742
915,314,752
895,308,755
919,316,744
892,323,749
879,311,748
867,314,747
858,318,754
887,307,764
873,312,760
926,311,769
906,307,769
887,322,761
887,315,748
900,310,743
923,330,752
931,325,770
926,325,765
939,328,765
974,321,769
989,348,769
978,350,775
1035,368,776
1019,372,740
1020,381,744
990,399,734
1017,401,747
1029,386,735
1022,381,721
987,391,717
963,411,720
965,444,716
943,439,726
913,420,728
849,420,722
837,403,719
809,400,722
816,384,723
768,391,728
795,388,736
770,406,739
794,418,738
783,438,746
825,480,741
788,471,747
833,498,754
814,608,754
860,602,773
854,611,792
919,612,788
894,628,804
955,666,823
950,695,830
1036,746,844
1014,764,872
1082,747,844
1059,685,861
1124,682,844
1121,628,839
1179,623,844
1169,616,840
1176,604,836
1133,616,838
1159,639,843
1184,611,836
1188,607,849
1194,620,865
1201,576,859
1203,535,878
1219,527,866
1221,512,878
1195,527,882
1257,519,908
1190,529,886
1202,523,877
1206,515,877
1189,531,878
1236,512,883
1181,525,897
1210,511,917
1181,513,890
1186,496,902
1193,508,891
1198,510,903
1222,506,884
1224,531,911
1238,499,922
1200,509,926
1248,507,931
1258,508,933
1238,485,951
1310,483,963
1250,481,997
1295,485,1055
1301,493,1024
1269,529,1021
1237,532,1024
1198,545,1029
1190,539,985
1163,548,997
1108,536,962
1099,546,972
1051,530,933
1053,534,943
1023,509,905
1006,513,907
1001,494,885
991,502,874
1003,488,859
1002,512,858
1011,490,841
994,500,833
1000,478,804
1021,510,823
1011,508,799
1027,538,801
1033,544,804
1040,571,803
1051,586,793
1056,612,790
1109,648,794
1107,683,802
1127,714,798
1161,753,817
1193,777,810
1207,775,828
1182,800,814
1182,767,802
1157,724,797
1143,777,794
1147,839,793
1146,781,796
1101,837,798
1110,844,778
1122,868,791
1133,898,767
1118,901,782
1093,826,764
1127,888,766
1114,915,763
1134,987,777
1204,1001,759
1125,1028,769
1118,1070,757
1122,1047,760
1075,1012,759
1103,1058,764
1129,1211,755
1135,1160,769
1164,1151,759
1174,1135,768
1142,1190,761
1125,1144,781
1114,1135,761
1107,1114,772
1114,1125,768
1119,1167,784
1155,1159,773
1148,1232,790
1173,1194,778
1136,1120,779
1175,1123,787
1151,1268,804
1157,1286,783
1211,1335,803
1275,1319,781
1228,1271,807
1332,1079,779
1259,1146,804
1338,1006,768
1279,977,770
1304,1066,747
1249,1107,746
1196,916,762
1208,919,759
1202,900,760
1212,948,757
1173,915,746
1154,799,749
1122,806,738
1014,800,737
991,787,736
956,693,731
927,677,738
929,678,737
926,627,735
909,617,738
906,623,743
906,636,748
858,623,740
902,639,746
888,642,846
914,709,759
926,714,770
983,670,786
997,670,789
1065,707,809
1046,707,818
1126,762,841
1147,784,854
1179,763,844
1155,700,855
1181,647,850
1158,622,842
1211,603,842
1213,622,845
1251,591,827
1188,564,845
1179,618,842
1182,596,849
1248,547,841
1247,574,840
1301,516,843
1259,507,863
1264,493,841
1227,468,857
1249,467,853
1289,469,854
1282,477,850
1259,478,848
1330,480,850
1239,479,861
1299,462,844
1178,465,878
1189,463,881
1207,465,874
1174,464,865
1218,462,865
1285,475,876
1264,479,864
1298,471,870
1253,478,894
1261,471,906
1280,481,908
1290,479,946
1328,480,953
1329,479,1005
1374,490,1045
1427,505,1030
1425,531,1014
1367,542,1023
1329,536,1021
1347,531,996
1306,532,997
1292,534,981
1264,507,967
1236,492,944
1206,488,938
1176,490,928
1108,479,902
1123,491,909
1085,466,884
1089,463,886
1069,458,877
1079,457,875
1069,456,846
1110,463,858
1090,460,830
1110,464,850
1108,464,824
1110,499,853
1140,503,825
1154,517,830
1187,527,817
1209,542,842
1199,561,814
1210,571,832
1235,568,814
1299,578,828
1293,620,831
1321,622,851
1259,623,807
1204,618,813
1208,623,812
1210,649,821
1229,607,803
1225,592,808
1216,603,795
1217,679,784
1209,653,772
1152,603,778
1158,580,768
1132,550,779
1188,523,761
1155,503,780
1133,501,768
1142,522,757
1153,518,766
1145,524,786
1171,523,772
1170,517,769
1181,519,765
1173,494,769
1202,507,776
