Tensometr 1,Tensometr 2,Tensometr 3
1258,695,911
1128,765,927
1145,814,917
1146,765,883
1136,851,846
1134,887,839
1024,908,798
951,906,790
876,785,755
839,822,775
843,954,773
834,907,782
910,931,809
985,969,851
1013,1025,878
1158,931,880
1143,954,881
1310,1101,890
1290,1100,903
1547,930,906
1556,969,937
1489,898,972
1532,821,982
1693,822,1008
1669,791,1088
1723,702,1135
1621,794,1164
1290,1100,903
1547,930,906
1556,969,937
1489,898,972
1532,821,982
1693,822,1008
1669,791,1088
1723,702,1135
1621,794,1164
843,954,773
1434,696,1052
1400,654,1037
1297,565,949
1283,629,939
1381,667,906
1640,802,982
1657,873,984
1684,884,1019
1529,863,934
1493,796,882
1306,780,860
1276,732,869
1274,716,833
1169,672,846
1220,671,831
1304,707,884
1331,759,902
1202,684,919
1186,732,945
1151,824,949
1153,822,1005
1178,834,1049
1195,894,859
1192,861,835
1119,973,881
997,987,795
970,910,850
887,896,856
903,868,860
830,1006,865
908,1045,815
1009,1178,846
1031,1251,890
1147,1128,883
1255,1082,884
1355,1111,892
1446,963,930
1464,814,947
1620,929,966
1584,829,980
1547,817,1001
1734,818,993
1711,829,1049
1702,724,1127
1594,824,1177
1385,793,1082
1369,759,1047
1225,734,950
1192,781,946
1268,778,904
1380,947,974
1567,1217,964
1563,1384,1000
1406,1479,938
1356,1420,953
1277,1720,906
1261,1445,912
1230,2021,904
1180,2117,909
1165,2404,926
1237,2374,933
1262,2362,942
1249,2321,948
1184,2596,946
1063,2542,958
1104,2468,962
1119,2429,964
1188,2358,880
1115,2328,891
1082,2241,883
948,2212,857
882,2126,838
843,1972,833
851,1793,836
792,1759,833
863,1660,765
926,1662,787
1009,1650,853
1071,1304,858
1186,1229,850
1260,1151,862
1355,1067,880
1419,1059,888
1536,936,909
1477,836,909
1450,760,948
1595,802,941
1616,708,979
1606,700,1049
1648,826,1097
1458,729,1060
1391,760,1027
1299,707,942
1261,680,932
1279,686,894
1341,820,945
1628,926,912
1557,1072,952
1582,1006,898
1501,947,1119
1467,947,1008
1348,865,1094
1294,836,1052
1316,883,903
1277,780,872
1327,731,895
1291,787,886
1207,756,908
1173,784,933
1132,763,920
1197,890,957
1225,892,947
1243,1036,904
1244,1036,893
1350,1215,888
1173,1237,863
983,1070,848
922,970,837
918,969,852
870,1025,849
976,1190,783
1054,1347,817
1207,1603,872
1284,1378,911
1569,1357,904
1524,1434,949
1850,1446,952
1876,1245,1007
1997,1211,1008
2076,1199,1036
2405,1090,1077
2181,1160,1168
2415,1024,1242
2657,1061,1420
2558,1136,1477
2569,1257,1477
2443,1228,1391
2431,1321,1324
2472,1392,1314
2633,1670,1316
3038,2424,1388
2953,2764,1422
2867,2629,1429
2668,2163,1370
2531,1927,1236
2253,1634,1137
2137,1605,1288
1911,1372,1113
1825,1129,1230
1841,1017,1202
1763,1050,1114
1760,995,1152
1659,967,999
1673,976,985
1641,922,1000
1572,966,1050
1543,919,1031
1559,1089,986
1480,1081,921
1535,1180,899
1290,1226,888
1115,1032,834
990,829,819
910,848,834
874,960,846
941,1031,851
963,1003,794
1119,1387,834
1093,1257,867
1382,1109,880
1282,1032,895
1505,990,898
1467,969,927
1762,826,924
1894,866,945
1744,750,981
1817,741,998
1780,721,998
1647,655,1052
1694,578,1090
1502,623,1063
1304,596,973
1232,559,911
1134,519,842
1114,510,823
1209,485,792
1268,573,796
1312,666,811
1209,643,822
1152,587,841
1060,544,794
1000,544,795
944,538,783
937,540,755
905,479,754
904,474,757
827,506,756
789,497,757
768,507,769
798,535,777
791,617,820
836,642,851
876,623,910
881,613,854
959,651,905
919,664,839
896,656,798
839,716,801
761,650,824
742,665,838
737,689,846
819,713,797
939,834,839
984,813,896
1103,788,875
1140,779,893
1291,805,896
1541,687,941
1733,647,941
1692,713,959
1627,653,993
1570,668,1021
1705,654,1051
1571,644,1087
1685,588,1199
1610,696,1176
1384,646,1080
1355,617,1053
1218,554,967
1229,663,1006
1236,636,934
1365,842,1042
1443,933,1004
1449,881,1105
1336,817,994
1365,804,1035
1243,731,989
1170,681,987
1127,693,947
1102,683,936
1139,598,911
1151,676,1106
1075,712,943
1076,675,1311
1083,702,1161
1038,754,1063
1090,802,1263
1085,842,1120
1104,802,1138
1047,860,964
1049,1092,1128
905,1172,891
826,1175,906
820,999,848
842,1006,876
797,1148,763
889,1242,798
968,1509,832
1018,1594,879
1110,1412,874
1218,1306,878
1258,1289,886
1359,1431,912
1385,1337,940
1568,1362,960
1541,1263,986
1526,983,998
1659,1045,999
1686,977,1043
1692,840,1107
1614,919,1144
1410,865,1084
1315,829,1038
1215,707,961
1184,741,950
1206,687,898
1342,869,925
1483,860,931
1417,868,989
1350,775,909
1368,815,964
1190,740,903
