Tensometr 1,Tensometr 2,Tensometr 3
929,666,711
996,707,712
1109,2365,713
958,2433,714
1055,715,716
1080,1139,717
1290,1200,720
847,681,720
981,972,723
906,567,725
1153,2312,726
942,866,726
1126,822,727
908,713,728
821,626,728
934,2478,730
982,807,731
836,608,732
867,2630,733
1155,723,733
1002,769,737
918,830,738
919,729,738
1011,807,738
917,616,739
936,726,740
970,956,740
981,334,740
929,653,741
976,821,741
851,765,741
921,977,742
1208,761,742
916,727,744
964,318,744
961,315,745
921,711,746
924,828,746
980,1214,747
903,884,747
1293,2252,748
1587,1176,748
996,810,748
993,912,749
1069,812,749
1189,814,749
984,731,749
854,705,749
1230,2103,750
892,2432,750
938,818,751
944,983,751
838,834,751
1067,872,752
996,733,752
924,757,752
969,765,753
904,688,753
864,633,753
998,348,753
916,854,754
925,302,754
1274,686,755
1264,795,755
1034,355,755
1034,685,756
909,312,756
1123,924,757
1126,796,759
1004,701,760
1383,769,761
1166,2050,761
867,574,762
900,305,762
1074,1045,763
977,1014,763
984,881,763
985,708,765
989,782,765
864,690,765
863,825,766
960,2201,766
938,682,767
955,1184,768
999,840,768
908,803,768
1178,1208,769
872,881,769
958,775,769
1925,1011,770
1367,1082,770
929,769,771
921,685,771
1134,910,771
1149,954,772
960,926,772
911,320,772
1088,1366,774
1032,653,774
848,654,776
1371,777,776
1091,989,776
923,1012,777
897,721,777
888,722,778
1422,798,778
929,867,780
1299,746,780
972,1088,781
887,871,781
1059,1598,782
1333,737,783
1302,1183,784
924,887,784
944,965,785
1379,754,787
1644,1544,787
1075,982,787
1061,631,788
1104,1158,790
1581,944,790
1128,774,790
1299,1142,792
1487,727,792
970,825,794
1554,813,795
887,647,795
1294,761,795
904,786,796
1381,958,796
911,334,796
1012,1105,797
1319,758,797
1207,1334,798
1073,950,799
1065,898,799
1053,990,799
1007,607,800
1367,769,800
1446,826,801
986,1110,803
1508,1147,803
1044,971,804
1474,728,804
1038,1035,806
1131,1091,806
1039,841,806
939,765,806
1154,1008,806
924,867,806
1330,634,807
1294,633,808
995,854,809
1202,651,809
1252,639,811
1539,779,812
1205,1881,813
965,968,814
1199,701,814
1254,671,814
1092,1293,815
1235,616,815
1000,1212,817
1219,602,817
922,344,817
1322,1150,818
1077,629,818
1390,1251,820
1232,644,820
1210,1275,821
1321,767,821
1007,968,821
1385,995,822
1239,780,824
1202,565,824
1069,741,824
1457,1061,827
1491,828,827
1285,1133,827
1059,852,827
1120,670,827
1221,791,828
1117,758,828
1163,668,828
1087,1575,829
1252,784,829
1227,662,829
1051,1175,830
1174,696,830
1221,1736,831
1159,555,831
1245,717,831
1281,718,831
1242,777,832
1098,1907,832
1158,769,832
1267,613,832
1188,587,832
976,774,832
1189,1301,833
1078,2191,833
1236,460,834
1087,908,834
1432,765,834
1236,597,834
1305,633,834
1149,728,835
1228,577,835
1163,961,835
1276,597,836
2393,2180,837
999,391,837
1197,595,837
1379,641,838
1087,603,838
1383,1146,838
1261,948,839
1328,1375,840
1502,1051,840
1191,830,840
1185,1349,841
1405,782,841
1307,721,841
1151,496,841
1389,938,842
1382,581,843
1321,621,843
1135,633,843
940,358,843
1097,1095,844
1343,813,844
1123,474,844
1104,843,844
1161,818,844
1225,1743,844
1566,912,844
2234,2376,844
1021,1124,845
1091,884,845
1304,748,845
1354,486,845
1196,633,845
1618,1194,846
1595,906,846
1139,480,846
1003,1004,846
2019,2005,847
1222,749,847
1189,673,847
1341,620,847
1168,616,847
1234,696,848
1253,444,849
1339,889,849
1014,1091,849
1195,637,849
1171,1067,850
1385,623,850
1141,1126,850
1322,769,850
1143,1079,851
1325,705,851
1208,787,851
1208,720,851
1433,927,851
1252,782,851
1193,882,852
1222,750,852
1041,468,852
1263,721,852
1185,935,853
1038,445,853
1047,925,853
1237,757,853
1333,1143,854
1296,572,854
1100,682,854
1151,577,854
1136,596,854
1806,1927,855
1297,697,855
1257,565,856
1314,862,856
1251,605,856
1204,923,857
1304,1753,857
1204,808,857
1363,735,857
1211,841,857
1141,1016,858
1006,817,858
