Tensometr 1,Tensometr 2,Tensometr 3
1172,620,827
1134,690,778
1119,695,784
1097,709,762
1063,730,757
1049,774,740
1034,839,744
1086,923,738
1013,912,738
948,962,749
931,1069,753
938,1212,750
946,1476,766
925,1544,760
878,1581,757
930,1661,751
919,2055,781
931,2626,758
925,2727,769
958,2877,775
1026,2834,770
992,2785,772
982,2733,749
1017,2671,718
957,2605,714
935,2578,732
899,2565,706
870,2513,700
835,2492,703
789,2442,705
750,2317,699
724,2089,709
726,2013,718
731,1983,731
741,1952,737
771,1892,749
851,1833,760
871,1819,796
946,1797,815
936,1466,820
1006,1238,818
1086,1147,819
1077,1012,810
1019,1004,820
1119,889,814
1106,893,856
1197,749,842
1205,773,883
1246,717,853
1221,667,866
1205,622,875
1239,592,884
1276,574,878
1286,595,899
1207,570,885
1304,520,942
1276,507,988
1260,559,1003
1205,510,964
1143,532,965
1038,462,905
1047,498,906
986,424,839
993,496,845
1003,450,801
1029,496,837
1002,481,794
1035,551,815
1098,572,794
1102,602,816
1178,618,811
1141,604,799
1112,607,784
1125,571,782
1084,549,771
1059,566,756
1067,547,742
1064,559,731
1101,548,736
1004,526,734
993,526,740
967,547,728
993,593,732
1018,620,734
1001,614,738
960,608,746
1028,595,748
1030,625,760
1058,635,762
1009,659,766
1060,704,779
1048,789,765
1053,816,742
1029,811,726
1058,765,713
1021,778,697
963,806,698
926,874,680
917,865,677
893,909,685
845,1030,684
866,961,698
786,858,710
852,1060,716
808,888,733
880,936,741
894,922,770
1016,1003,773
1007,1054,816
1139,1072,835
1119,875,849
1338,984,835
1289,986,852
1279,1029,862
1351,1056,889
1515,1006,914
1431,957,925
1549,861,950
1585,918,970
1562,796,948
1638,837,1017
1538,783,966
1720,847,1056
1746,772,1035
1702,792,1092
1808,753,1142
1893,776,1289
1652,791,1210
1759,850,1238
1544,786,1120
1637,823,1191
1463,758,1063
1572,799,1117
1461,760,1053
1578,853,1145
1828,832,1062
2090,1184,1173
2511,1132,1135
2499,1380,1231
2492,1436,1228
2450,1405,1142
2306,1195,1085
2128,1192,1046
1780,1072,1017
1700,1110,997
1635,938,992
1614,1001,939
1616,1018,942
1632,1068,916
1578,1105,914
1509,935,864
1473,965,903
1522,1058,891
1502,963,904
1427,981,888
1370,999,918
1503,1118,884
1458,952,905
1385,1153,876
1320,1108,928
1380,1262,907
1348,1159,899
1398,1227,867
1405,1155,851
1538,1192,813
1453,1267,814
1439,1416,789
1229,1333,779
1123,1476,756
1038,1228,743
1060,1236,723
924,985,720
901,989,740
862,868,733
865,1037,738
825,946,748
915,967,759
923,923,775
1050,1163,809
1023,1060,834
1142,1046,835
1095,834,839
1339,936,823
1221,832,832
1230,984,830
1205,887,842
1265,877,854
1241,757,862
1395,723,858
1415,713,869
1418,625,851
1406,628,887
1365,582,875
1489,601,882
1458,565,885
1409,562,931
1376,513,939
1399,511,1026
1300,487,975
1215,482,998
1118,431,934
1083,415,914
1042,381,870
998,395,862
989,367,813
990,378,822
1012,366,793
1007,386,787
1053,398,781
1085,445,802
1096,471,796
1129,487,808
1096,476,798
1059,475,776
1021,454,775
1000,455,750
978,439,759
1003,416,736
963,432,737
956,414,726
971,422,728
946,424,741
912,421,741
932,415,743
917,425,770
949,436,767
925,455,786
898,444,758
909,452,780
905,487,776
933,521,799
882,543,766
941,556,792
952,625,758
1006,634,796
1017,654,756
1042,672,718
986,688,706
974,710,710
954,749,707
905,807,715
862,864,692
827,790,695
823,894,707
773,739,702
827,847,720
788,929,735
819,902,736
786,798,742
932,935,769
923,973,780
1042,1154,821
1026,902,847
1107,805,831
1076,698,837
1240,637,824
1112,610,841
1242,597,825
1210,554,851
1294,504,843
1267,491,858
1310,492,872
1317,494,871
1324,442,886
1314,441,898
1281,429,864
1278,428,904
1233,396,914
1287,391,952
1274,377,1010
1253,391,1021
1188,388,968
1115,364,958
1052,337,910
1018,320,889
1026,313,850
1007,315,839
1021,312,812
1022,335,818
1068,375,831
1107,387,825
1101,399,840
1127,418,846
1116,408,850
1087,423,816
1066,434,801
1043,441,785
1014,453,810
982,457,771
984,469,784
998,453,758
1000,458,786
984,432,758
940,452,765
901,453,770
910,488,797
936,526,770
920,516,798
882,497,791
919,507,802
912,533,799
910,538,823
875,548,781
889,615,810
894,607,787
917,648,804
904,677,784
965,716,770
999,737,739
941,736,754
915,832,742
874,879,734
856,989,716
804,1177,717
796,1099,707
737,1033,713
759,880,725
752,799,727
772,845,732
730,872,733
819,863,754
819,893,765
945,994,793
925,1055,828
1003,920,832
1026,860,824
1134,844,834
1050,840,831
1127,869,844
1146,829,850
1201,693,857
1219,673,863
1310,678,857
1230,688,884
1220,642,877
1230,621,888
1228,618,907
1311,603,919
1292,575,936
1271,531,983
1356,515,1018
1419,511,1046
1281,533,1025
1215,510,992
1162,495,963
1102,470,903
1122,479,901
1058,442,848
1066,450,840
1043,434,804
1094,475,822
1127,451,780
1159,499,810
1168,489,792
1126,508,834
1144,499,813
1081,490,812
1047,461,806
1033,495,806
1016,477,776
998,470,756
1009,454,738
986,471,738
984,513,727
953,470,751
936,466,733
926,480,739
936,444,742
942,470,751
881,446,738
867,459,765
888,460,760
859,504,785
855,499,766
845,532,792
861,571,770
914,551,774
895,582,745
886,555,754
886,601,718
897,612,738
894,682,723
853,703,721
841,715,696
806,741,702
796,724,693
742,714,702
785,729,716
763,709,724
766,779,730
748,678,742
799,702,760
847,781,779
909,835,812
965,864,843
1035,731,856
1146,717,849
1247,709,844
1142,729,841
1173,836,854
1223,795,861
1249,698,860
1292,633,889
1356,632,882
1375,597,875
1409,604,903
1360,564,880
1372,544,885
1332,534,888
1292,526,906
1270,479,900
1306,484,987
1319,448,997
1253,490,992
1163,445,961
1135,430,942
1046,397,891
1059,411,891
1000,365,851
1006,397,849
1016,361,797
1038,381,818
1089,376,792
1115,412,805
1179,426,807
1190,455,835
1170,455,795
1134,433,798
1102,402,790
1079,413,788
1094,399,747
1082,403,743
1099,416,717
1073,422,729
1099,435,742
1041,466,745
1024,473,741
1015,502,742
1022,503,758
984,502,769
974,489,772
936,519,779
1019,547,772
963,553,790
925,540,754
926,605,792
983,617,792
1065,631,807
1185,729,814
1196,773,836
1399,898,812
1382,878,842
1499,931,840
1333,1016,842
1362,1111,863
1273,1147,850
1319,1097,861
1278,993,869
1336,1018,875
1281,1054,888
1444,1148,894
1443,1207,938
1520,1270,970
1770,1419,1036
2020,1471,1071
2285,1198,1082
2456,1076,1080
2362,1012,1050
2289,980,1104
2178,963,1089
2275,976,1129
2406,836,1148
2515,775,1186
2563,808,1181
2597,801,1223
2540,807,1214
2464,750,1261
2467,778,1231
2405,771,1359
2652,778,1358
2677,750,1541
2655,696,1601
2653,809,1625
2396,798,1546
2658,788,1540
