Tensometr 1,Tensometr 2,Tensometr 3
731,527,683
718,532,693
745,520,697
743,543,707
801,549,719
817,571,717
823,570,728
825,610,737
829,616,743
874,638,764
884,683,763
910,655,791
929,674,781
958,677,777
951,673,779
981,668,770
1004,657,767
1079,635,778
1067,650,778
1063,617,781
1050,610,798
1080,613,795
1101,611,800
1142,598,804
1148,609,814
1161,587,807
1128,563,832
1177,578,826
1217,575,844
1273,573,829
1220,581,843
1184,572,843
1233,575,840
1231,554,860
1167,573,871
1189,570,881
1241,605,880
1285,568,881
1295,587,914
1365,555,913
1413,564,921
1388,522,921
1325,502,957
1409,478,966
1429,464,1038
1431,443,1034
1402,443,1016
1332,451,977
1314,462,1023
1229,424,963
1239,431,955
1141,435,915
1213,444,910
1095,417,893
1112,410,888
1069,384,845
1103,424,864
1092,375,829
1088,400,850
1091,372,823
1080,404,843
1114,380,826
1167,447,848
1208,438,846
1229,481,885
1301,478,863
1289,511,890
1290,501,878
1260,484,889
1199,481,858
1184,449,828
1232,466,824
1201,440,811
1224,432,800
1152,435,781
1165,422,776
1134,415,773
1146,399,769
1140,389,780
1133,398,762
1126,373,761
1148,372,749
1137,387,752
1133,382,756
1103,386,763
1118,394,771
1086,394,762
1117,413,754
1099,412,751
1164,426,753
1132,444,744
1101,432,762
1110,450,765
1085,461,788
1115,487,774
1092,464,798
1119,461,769
1098,458,793
1130,439,767
1119,440,772
1064,442,751
1061,435,736
1067,432,736
1057,426,746
1122,437,739
1060,447,748
1046,452,735
1059,464,736
1111,459,720
1105,473,731
1130,471,743
1138,473,717
1164,487,712
1143,497,728
1196,526,711
1173,497,723
1231,522,732
1250,522,736
1241,567,733
1208,570,740
1165,621,728
1118,615,741
1134,654,751
1113,615,744
1089,638,748
1046,573,740
1031,596,744
993,596,751
1031,583,751
995,620,744
973,605,758
991,615,754
1023,623,761
1021,670,761
1028,648,768
1059,664,773
1069,672,777
1128,686,796
1157,727,804
1225,785,821
1213,827,826
1257,863,854
1281,1017,873
1389,1027,904
1352,1002,918
1483,965,947
1475,947,947
1653,885,968
1635,830,938
1656,835,944
