Tensometr 1,Tensometr 2,Tensometr 3
996,672,873
955,680,870
1018,705,843
996,672,873
955,680,870
1018,705,843
1229,722,929
1318,797,917
1455,935,912
1557,1107,1011
1581,1202,1030
1465,975,986
1469,1014,937
1307,1040,885
1203,927,868
1189,894,856
1187,833,830
1111,858,831
1168,831,834
1094,950,848
1089,747,861
1027,769,855
1013,717,793
1093,717,794
1010,700,777
922,759,751
863,759,735
772,675,734
788,644,724
776,687,726
808,683,734
906,713,774
961,786,817
1019,691,816
1114,648,822
1175,695,824
1170,705,845
1349,632,857
1437,718,874
1486,721,908
1426,698,959
1460,707,962
1542,713,1044
1565,676,1153
1475,791,1176
1395,770,1192
1259,718,1078
1200,740,1021
1136,716,969
1153,811,974
1264,783,966
1340,1004,1053
1387,1015,1058
1408,1045,1041
1327,929,949
1215,1001,926
1220,813,881
1178,743,874
1179,760,852
1112,697,866
1142,748,858
1135,836,876
1056,823,879
1015,844,872
951,910,866
896,962,919
967,1031,886
953,1082,849
1043,1200,801
1015,1388,809
921,1860,771
807,1760,748
794,1577,744
760,1557,729
757,1782,729
756,1836,736
832,1884,770
894,2028,821
980,2050,836
1039,1662,823
1090,1421,822
1164,1349,833
1295,1158,866
1373,1103,910
1453,938,909
1368,859,959
1504,841,948
1548,821,999
1522,781,1034
1564,741,1168
1361,773,1110
1283,748,1057
1240,723,981
1172,689,938
1131,710,913
1180,750,919
1343,962,960
1409,1060,1019
1362,951,1012
1321,906,946
1241,857,903
1214,761,887
1205,737,879
1166,754,860
1111,730,859
1054,711,839
1097,759,853
1049,779,853
1006,757,858
956,780,890
956,883,916
1023,939,850
1031,930,852
1064,942,795
1011,993,799
976,1014,761
867,950,737
830,853,737
781,757,726
795,857,727
772,882,727
903,877,754
949,1014,800
1100,990,819
1109,883,832
1190,833,823
1180,963,838
1337,843,863
1414,773,862
1591,771,874
1467,751,946
1519,682,928
1660,686,993
1605,659,1044
1744,692,1172
1496,734,1131
1498,736,1112
1371,697,1021
1329,697,987
1323,676,926
1418,783,954
1575,907,920
1705,1250,970
1826,1035,983
1611,924,937
1612,925,900
1510,913,883
1465,852,898
1387,931,921
1493,858,976
1498,999,997
1687,1224,1070
1755,1270,1120
1815,1284,1196
1971,1193,1185
1982,1251,1236
2111,1467,1238
2291,1442,1174
2648,1541,1111
2531,1556,1093
2383,1572,1073
1900,1444,1068
1621,1189,1022
1590,1050,993
1643,1200,1001
1540,1189,1033
1665,1239,1090
1666,1261,1142
1784,1235,1208
1990,1402,1134
2075,1719,1160
2189,1794,1193
2248,1672,1169
1923,1576,1214
2034,1898,1249
1987,1941,1386
2210,1832,1434
2380,2002,1558
2493,1786,1634
2843,1915,1775
2634,1614,1518
2277,1493,1439
