Tensometr 1,Tensometr 2,Tensometr 3
1422,1423,967
1228,1236,877
1132,1086,842
1031,1029,803
951,978,769
903,824,761
899,785,801
962,757,844
975,691,820
1064,718,813
1042,683,817
1134,679,844
1204,705,886
1330,726,894
1357,759,947
1485,724,959
1683,732,1053
1862,746,1073
1927,757,1209
1855,849,1214
1815,834,1218
1547,763,1101
1555,775,1126
1420,676,1020
1571,761,1062
1879,847,1042
2016,1129,1111
2028,1020,1118
2085,962,1081
1765,924,1011
1547,904,969
1501,775,923
1478,764,907
1510,758,895
1377,737,871
1373,741,883
1316,768,848
1269,713,870
1221,757,872
1190,721,846
1148,780,842
1239,890,841
1231,929,791
1147,887,759
1213,975,750
1038,1074,731
967,1011,725
904,824,721
871,722,734
823,703,752
844,814,763
911,874,787
1025,935,844
1091,765,867
1256,818,853
1205,823,849
1328,849,854
1378,766,892
1437,768,911
1526,756,928
1517,708,949
1650,716,983
1632,673,1002
1745,676,1052
1623,650,1112
1523,631,1090
1329,571,1000
1269,567,972
1232,538,927
1312,592,942
1595,607,967
1892,771,1067
1988,867,1056
2006,941,1040
1909,886,986
1874,810,968
1761,761,924
1699,777,926
1655,797,917
1619,761,895
1619,790,879
1607,831,896
1595,832,906
1527,853,917
1578,962,904
1565,950,938
1722,982,940
1678,1142,914
1693,1075,837
1590,1125,830
1469,1380,778
1189,1265,754
1037,1147,756
966,901,753
940,1069,759
937,990,755
999,1008,777
1072,1094,802
1146,1091,843
1204,964,824
1339,924,828
1294,1010,849
1502,1090,890
1506,1004,912
1527,1056,903
1518,1016,942
1529,991,956
1686,922,992
1744,892,1037
1852,789,1212
1710,912,1216
1497,950,1121
1425,912,1072
1374,952,1006
1316,1039,982
1476,1440,962
1706,1741,1027
1980,1964,1020
2010,2032,1078
1936,2133,991
1748,2299,954
1566,2321,868
1605,2346,867
1480,2391,846
1393,2400,849
1411,2432,827
1424,2485,823
1232,2512,824
1270,2562,822
1206,2574,806
1138,2589,813
1118,2613,810
1047,2671,790
1101,2587,735
1016,2355,727
1024,2145,715
928,1749,704
855,1530,695
777,1301,698
796,1300,699
749,1210,698
817,1123,728
839,1159,752
923,1160,806
936,1004,800
1046,958,807
1011,1058,833
